id,name
131,Nintendo PlayStation
20,Nintendo DS
4,Nintendo 64
159,Nintendo DSi
37,Nintendo 3DS
19,Super Nintendo Entertainment System
416,Nintendo 64DD
130,Nintendo Switch
137,New Nintendo 3DS
21,Nintendo GameCube
18,Nintendo Entertainment System
7,PlayStation
8,PlayStation 2
48,PlayStation 4
167,PlayStation 5
9,PlayStation 3
165,PlayStation VR
390,PlayStation VR2
46,PlayStation Vita
38,PlayStation Portable
131,Nintendo PlayStation
11,Xbox
12,Xbox 360
49,Xbox One
169,Xbox Series X|S
6,PC (Microsoft Windows)
13,DOS
405,Windows Mobile
