genres,id,name,platforms,rating,summary
"[5, 31]",3005,Superman: The New Superman Adventures,[4],18.96021905179874,Superman The New Adventures often referred to as Superman 64 is a 1999 adventure video game developed and published by Titus Software for the Nintendo 64 video game console The game is based on the television series Superman The Animated Series Superman was first released in North America on May 31 1999 and in Europe on July 23 1999
"[9, 15, 31]",86227,Myst,[37],18.0,Its more than a game Its a journey
"[9, 31]",3892,Dora the Explorer: Journey to the Purple Planet,"[8, 21]",18.0,Dora the Explorer Journey to the Purple Planet is an Adventure game developed and published by TakeTwo Interactive which was released in 2005
[5],3859,Cocoto Magic Circus,"[5, 8, 21]",18.0,Free Fairy and become a sharp shooter  4 game modes Arcade Training Duel and Tournament 40 minigames each one more orginal than the last Fun and surprising Bonuses and Maluses 1 to 4 players
[31],3850,Casper: Spirit Dimensions,"[8, 21]",18.0,Spiral into phantom dimensions where you will fiercely battle for the fate of the spirit world Portals will transport you to mysterious realms that are populated by ghosts of the past present and future all possessed by the evil Kibosh Use your powers of flight and fright to become the quickest smartest and most powerful ghost in the Spirit Dimension
"[2, 31, 32]",169552,Saint Kotar,"[6, 48, 49, 130, 167]",17.79112546579838,Saint Kotar is a psychological horror adventure set in an ancient rural town of Croatia Take on the role of two godly men trying to unravel the terrifying truth behind the towns occult happenings and the disappearance of their relative Find your humanity  or descend into madness and death
"[4, 13, 31]",21566,Beyblade: Evolution,[37],17.0,Developed to take advantage of the unique capabilities of the Nintendo 3DS BEYBLADE Evolution lets players launch their ingame BEYBLADE using the gyro and motion sensors and manipulating the viewing angle with the Augmented Reality camera for precise control and adjustment  Players engage in realtime multiplayer battles or follow the Story Mode campaign unlocking new parts and information to finetune their tops in the Bey Factory Expected to spin into retail this fall the game will be available in two versions a standalone Nintendo 3DS edition and in collaboration with Hasbro a collectors edition which includes an exclusive sixpiece BEYBLADE Wing Pegasus 90WF toy previously unavailable outside of Japan
[10],3854,Charinko Hero,[21],16.0,Charinko Hero is a Racing game developed and published by Banpresto which was released in Japan in 2003
"[8, 31]",14502,Home Alone 2: Lost in New York,[19],15.4197446918777,Kevin ends up in New York City Alone The Wet Bandits are in New York City too Harry and Marv tried to rob Kevins house last Christmas But Kevins excellent traps foiled their plans Now theyre out for revenge And Kevins got plenty of hilarious plans to stop them
"[9, 31, 32]",20393,North,"[6, 14, 46, 48, 49, 130]",14.45727154257021,Dealing with the issue of the contemporary refugee crisis while at the same time being deeply rooted in a classical cyberpunk atmosphere à la Blade Runner NORTH features a dark synthpop soundtrack a sprawling megacity and weird monsterlike inhabitants
