genres,id,name,platforms,rating,summary,storyline
[31],116584,The Lord of the Rings: Gollum,"[6, 48, 49, 130, 167, 169]",29.88727906697126,The Lord of the Rings Gollum is a storydriven action adventure Take on a perilous journey as Gollum chasing the only thing that is precious to him Gollum is skillful and cunning but also torn by his split personality One mind two egos  you decide,Missing
[31],148289,My Friend Peppa Pig,"[6, 48, 49, 130, 167, 169, 170]",29.65497557685175,Start a funfilled adventure by becoming Peppa Pigs new friend Take your first steps into Peppas world by creating your character and choosing your clothes If you want to be a fox in a pirate hat you can Or be a rabbit in a nice dress and sunglasses  its your choice There are so many possibilities even before you ring the doorbell at Peppas house  What happens in your story is all up to you Everywhere you go Peppa will suggest fun things to do  just like youre in an episode of the TV show Will you help Daddy Pig find his lost glasses in the house Can you guess the animal from the tracks you follow in the Forest When it rains youll surely want to jump in muddy puddles  just dont forget your boots  All your favorite characters are here and theyre excited to meet you Play with George and Mummy Pig at Peppas House Sing with Madam Gazelle and the other children at Peppas School Visit the Beach Snowy Mountain the Museum even Potato City Every play session is a new experience as you choose new paths and try new things with your friend Peppa Pig,Missing
[25],7769,Batman Forever,"[13, 19, 29]",29.13821313567794,Brace yourself for endless action with BATMAN FOREVER Batman and Robin blast into Gotham City in a duoplayer fighting game Armed with over 125 incredible attacks fierce combat moves and an arsenal of gadgets the Dynamic duo are ready to battle the diabolical minds of TwoFace and The Riddler  Without a questionits BATMAN FOREVER,Missing
"[8, 31]",3848,Carmen Sandiego: The Secret of the Stolen Drums,"[8, 11, 21]",29.0,Join ACME agentintraining Cole Gannon along with Jules Argent and Shadow Hawkins in an allnew action adventure on the trail of Carmen Sandiegothe worlds greatest thief This case takes Cole around the world from a museum in New York and the beaches of New Zealand to the Incan ruins of Machu Picchu While on the case youll need to use acrobatics stealth martial arts and most of all your wit to stop Carmen from unearthing the drums and making off with the lost treasure,Missing
"[12, 31, 32]",30206,YIIK: A Postmodern RPG,"[6, 14, 39, 48, 130]",28.7581951407636,The game is a colourful 3D JapaneseStyle RPG It is set in the 1990s and is based around a mystery in a small town Recent college graduate Alex Eggleston gathers weirdos from the internet to investigate the mystery around Sammy Pak a mysterious woman who goes missing in a supernatural event The player can control the characters in turn based battles where normal everyday objects are used as weapons The combat consists of turn based moves with timing based actions which can increase the damage of an attack There are six dungeons to explore which include battles puzzles which have to be solved and traps that have to be avoided There are approximately twenty five hours of gameplay,Missing
Missing,85088,Frozen: Olaf's Quest,"[20, 37]",28.0,In this humorous epilogue to the motion picture Disney Frozen Olafs Quest hands center spotlight to Olaf the outgoing innocent and comically carefree snowman from Disneys epic comedy adventure It pairs tightly tuned platforming action with light puzzlesolving elements across 60 imaginative levels complete with hidden collectibles side challenges and unlockable customization items,Missing
[31],72623,Sea World: Shamu's Deep Sea Adventures,"[8, 11, 20, 21, 24]",28.0,Based around the lovable Shamu from SeaWorld,Missing
[4],50566,Ultimate Fighting Championship: Throwdown,[21],28.0,UFC Throwdown is based on the UFC Ultimate Fighting Championship mixed martial arts sports The game places you in the position as a realworld fighter utilizing various fighting styles such as Freestyle Wrestling Kickboxing Ju Jitsu etc  Each fighter has a variety of reallife moves in different categories There are punches kicks grapples and takedowns There are also ways of making your opponent submit or tapout to gain a victory  You have the ability to perform combos but these combos are realistic you can perform a 1234 punch combo or a punchpunchkick or any variation of those There are over twenty five fighters in the game each one based off of reallife UFC fighters The game includes fighter entrances and authentic voices,Missing
[14],3909,Evolution Snowboarding,"[8, 21]",28.0,Evolution Snowboarding is a sports video game first released on February 25 2002 for the Nintendo Gamecube It was later released on November 26 for the PlayStation 2 The game was both developed and published by Japanese game company Konami The game takes a new perspective on the snowboarding genre Evolution Snowboarding has also spawned a sequel titled Evolution Skateboarding,Missing
[10],3841,Butt-Ugly Martians: Zoom or Doom,"[8, 21]",28.0,ButtUgly Martians Zoom or Doom is a 2002 racing video game released by Runecraft The game is based on the computer animated television series ButtUgly Martians  The gameplay of Zoom or Doom focuses mainly on competitive racing there are seven different racers in which two have to be unlocked by the player each with different advantages such as handling and speed There is also a time attack mode as well as a practice mode and multiplayer mode which allows the player to race with a friend The game has no autosave feature meaning the player has to manually save the game or else all progress will be lost,Missing
