genres,id,name,platforms,rating,storyline,summary
"[12, 25, 31, 32]",145089,Nobody Saves the World,"[6, 48, 49, 130, 167, 169]",79.99951375674657,Complete Quests to discover and swap between many varied and distinct Forms Mix and match abilities in unique and interesting ways to find and complete even more difficult Quests and unlock more powerful Forms Explore a vast overworld clearing procedurally generated dungeons in an effort to beat back The Calamity and Save the World,Nobody Saves The World is a new twist on action RPGs in which you play many different character Forms each with their own unique gameplay mechanics The Calamitys power is growing and nobody can save the world now Good thing you are Nobody
"[12, 31]",113431,Ys IX: Monstrum Nox,"[6, 48, 130, 167, 170]",79.99944135395006,Missing,While imprisoned in Balduq Adol is cursed and becomes a Monstrum With his newfound powers he must stop the Grimwald Nox from consuming the city
[33],22287,Bomberman,[20],79.9987841114963,Missing,The Bomberman series returns with Bomberman for Nintendo DS boasting the first eightplayer wireless LAN action for the Nintendo DS system and supporting the DS microphone Bombermans addictive blend of strategy and action will keep puzzle fans and players of all ages and skill levels drawn to the 100 stages of gameplay
"[12, 31]",3981,Lost Kingdoms,[21],79.99839616388977,Missing,A dark mysterious force has taken over the five Kingdoms of Argwyll and only one person can solve the mystery and save the worldyou as Princess Katia Now you must travel through the kingdom and explore over two dozen unique 3D worlds filled with graveyards forests mountains and fortresses Interact with characters uncover secret areas and unravel the mystery of the evil forces During your adventures you can summon over 100 guardian creatures to help battle hordes of monsters Make it a solo mission or go headtohead with friends in twoplayer Versus mode
"[8, 9, 31, 32]",22917,Gris,"[6, 14, 34, 39, 48, 49, 130, 167, 169]",79.99657266951756,Missing,Gris is a hopeful young girl lost in her own world dealing with a painful experience in her life Her journey through sorrow is manifested in her dress which grants new abilities to better navigate her faded reality As the story unfolds Gris will grow emotionally and see her world in a different way revealing new paths to explore using her new abilities  Gris is a serene and evocative experience free of danger frustration or death Players will explore a meticulously designed world brought to life with delicate art detailed animation and an elegant original score Through the game light puzzles platforming sequences and optional skillbased challenges will reveal themselves as more of Griss world becomes accessible
"[12, 31]",6883,Shin Megami Tensei: Devil Summoner - Soul Hackers,"[7, 32, 37]",79.99627468626682,Missing,Soul Hackers delivers a firstperson dungeoncrawling RPG experience set in a future where technology and otherworldly forces meet in a macabre fusion of cyberpunk futurism and gothic horror A firstperson scifi RPG epic Soul Hackers tells of a city held up as a beacon of humanitys triumph of technology but with an infernal secret In this wouldbe utopia a group of hackers takes on a centuriesold mystic society and a battle for control over humanitys fate is about to begin
"[12, 15, 24, 31]",1787,Mega Man Star Force 3: Red Joker,[20],79.99469804480975,Missing,The world is in peril from a mysterious noise that is affecting the EM digital world Through his bond with the alien Omega Geo must transform into the legendary Mega Man to uncover the mystery behind the noise and protect the Earth Can he master the new Mega Man transformations of Black Ace and Red Joker before its too late
"[31, 32, 34]",35883,Fault Milestone Two Side: Above,"[3, 6, 14, 130]",79.98949841819925,Missing,Fault Milestone Two Side Above is a Cinematic Visual Novel that takes place right after the events of milestone one Please note that this novel is a direct sequel to fault  milestone one and contains massive spoilers of the first story Play through of the first title is highly advised
"[9, 13, 14, 15, 32]",15126,Demolition Inc.,"[6, 9, 14, 130]",79.98732157229387,Missing,Demolition Inc is a new action strategy game Assume the role of the daring demolition worker Mike and start a devastating chain reaction on earth Use cool tools and weapons and expand your destructive powers  Navigate Mikes UFO over cities of earth and unfold complete chaos with your tools and weapons Cars which drive into tower blocks and let them collapse highrises which fall onto other highrises and exploding cows which let whole streets of houses come tumbling down  Demolition Inc is 100 physics technology nothing is predetermined and nothing is preanimated Only you make a determination what you do and what you see Every time you play will have a unique experience
[8],85576,Donkey Kong Country: Tropical Freeze,[130],79.98517190663873,Missing,Donkey Kong Diddy Kong Dixie Kong and Cranky Kong return for the franchises debut on Nintendo Switch This title includes all the fun and challenge of the original game plus a new beginnerfriendly mode that lets players enjoy this critically acclaimed adventure as groovy surfing simian Funky Kong Funky Kong can double jump hover perform infinite rolls and even perform infinite underwater corkscrews Thanks to his sturdy surfboard even spikes cant slow him down The game launches for Nintendo Switch on May 4
"[8, 31]",84617,3D Classics: Kirby's Adventure,[37],79.98459762691499,Missing,3D Classics Kirbys Adventure offers you a chance to explore the world of Dream Land in a whole new way The landscape comes to life as Kirby crosses land sea and sky in his quest to restore the Star Rod After waking from a dreamless sleep Kirby goes to investigate the Dream Spring only to find out that its source of energy has been stolen by King Dedede Broken and divided across seven worlds Kirby will need to use his unique ability to steal enemies powers as he battles to restore the pieces of the Star Rod Without it how can a hero fight another day if he cant get a good nights sleep Embark on this adventure as the beloved pink character tries to save the citizens of Dream Land from a lifetime of terrible nightmares
"[5, 12]",498,Borderlands,"[6, 9, 12, 14, 49, 130]",79.97965071300138,Missing,With its addictive action frantic firstperson shooter combat massive arsenal of weaponry RPG elements and fourplayer coop Borderlands is a breakthrough experience that challenges all the conventions of modern shooters Borderlands places you in the role of a mercenary on the lawless and desolate planet of Pandora hellbent on finding a legendary stockpile of powerful alien technology known as The Vault  Role Playing Shooter RPS  combines frantic firstperson shooting action with accessible roleplaying character progression  CoOp Frenzy  Fly solo in single player or drop in and out with up to 4 Player CoOp online for a maniacal multiplayer experience  Bazillions of Guns  Gun lust fulfilled with rocketlaunching shotguns enemytorching revolvers SMGs that fire lightning rounds and tons more  Radical Art Style  New visual style combines traditional rendering techniques with handdrawn textures to create a unique and eyecatching spin on the First Person genre  Intense Vehicular Combat  Get behind the wheel and engage in intense vehicletovehicle combat
"[5, 33]",136539,Doom Eternal: The Ancient Gods - Part One,"[6, 48, 49, 130, 169, 170]",79.97838953798075,Your war is not over slaying the Khan Maykr left an imbalance of power that threatens all of creation The legions of Hell have razed the heavens threatening to expand their control across dimensions With the aid of an old ally battle your way back to Urdak and decide the fate of the cosmos Your mission is now your own  Experience a new mission in your eternal fight against evil Unleash your vengeance and face your greatest test as you march back to the Maykrs realm Defeat powerful new threats restore order to the heavens and unearth the corruption that has thrown the universe into chaos,The Ancient Gods picks up after the end of the main story in a time where due to the Slayers actions the armies of heaven and hell have fallen out of balance The demons have flooded in to overtake the weakened angelic realm so the Slayers been called in to clean up the mess
"[2, 9, 12, 31, 32, 33]",36044,Finding Paradise,"[3, 6, 14, 130]",79.9767823658671,Finding Paradise follows the two doctors travels as they unravel the perplexing memories of a patient named Colin Reeds to fulfill a wish that seems rather paradoxical to change something yet change nothing at all  And just what exactly is his wish,A storydriven experience about two doctors traversing through a dying mans memories to artificially fulfill his last wish
[4],40263,Jump Ultimate Stars,[20],79.9756595134701,Missing,Jump Ultimate Stars is a fighting video game developed by Ganbarion and published by Nintendo for the Nintendo DS It is the sequel to Jump Super Stars The game was released in Japan on November 23 2006  The game keeps many features from its predecessor and adds many more The game boasts 305 characters 56 of which are fully playable from 41 different Shōnen manga series
[5],6550,R-Type III: The Third Lightning,"[5, 19, 24, 58]",79.97330656545886,Missing,The evil Bydo Empire returns in this entry of the RType series So climb into the latest RType vessel the R90 and blast through six sidescrolling levels on your way to destroy the Bydo mothership  Gameplay is still the classic RType way with huge levels and bosses With your detachable laser unit you can fire in front or behind your ship RType III now features three different kinds of laser unit selectable at the start of a game Each offers different laser types depending on the powerups collected
