genres,id,name,platforms,rating,summary,storyline
[31],116584,The Lord of the Rings: Gollum,"[6, 48, 49, 130, 167, 169]",29.88727906697126,The Lord of the Rings Gollum is a storydriven action adventure Take on a perilous journey as Gollum chasing the only thing that is precious to him Gollum is skillful and cunning but also torn by his split personality One mind two egos  you decide,Missing
[31],148289,My Friend Peppa Pig,"[6, 48, 49, 130, 167, 169, 170]",29.65497557685175,Start a funfilled adventure by becoming Peppa Pigs new friend Take your first steps into Peppas world by creating your character and choosing your clothes If you want to be a fox in a pirate hat you can Or be a rabbit in a nice dress and sunglasses  its your choice There are so many possibilities even before you ring the doorbell at Peppas house  What happens in your story is all up to you Everywhere you go Peppa will suggest fun things to do  just like youre in an episode of the TV show Will you help Daddy Pig find his lost glasses in the house Can you guess the animal from the tracks you follow in the Forest When it rains youll surely want to jump in muddy puddles  just dont forget your boots  All your favorite characters are here and theyre excited to meet you Play with George and Mummy Pig at Peppas House Sing with Madam Gazelle and the other children at Peppas School Visit the Beach Snowy Mountain the Museum even Potato City Every play session is a new experience as you choose new paths and try new things with your friend Peppa Pig,Missing
"[15, 32]",9399,The Culling of the Cows,[6],29.39045510212585,The Culling Of The Cows is a sidescrolling shooter tower defense game You will take the role of Sammy a soliloquising schizophrenic farmer with a self prophesied mission to lay waste to the disease spreading over his farm,With his dusty old 12 gauge at his side and god at his back Sammy isnt going to be taking too kindly to the infectious chaos of the big citys leaking its way out into wild country When all the lunacy started Sammy consulted God on what he should do and the response was KILL THEM KILL THEM ALL
"[5, 13]",16948,Sniper Art of Victory,[6],29.0876873567942,WW II was a theatre of war for many specialized combat units working together to ensure an armys victory Among them a unique role was played by hidden and deadly marksmen Their ability to lay motionless waiting for the perfect shot together with their professional equipment allowed them to change the course of the history with one pull of a trigger Become a sharpshooter and take part in the turning points of the WW II Eliminate the Nazi general who came to support the Germans lying siege to Stalingrad Make your way through areas occupied by the Third Reich to your unit Aid the Alliance forces during their offensive on the Italian Peninsula to break the resistance of the retreating Wehrmacht forces,Missing
"[12, 31, 32]",30206,YIIK: A Postmodern RPG,"[6, 14, 39, 48, 130]",28.7581951407636,The game is a colourful 3D JapaneseStyle RPG It is set in the 1990s and is based around a mystery in a small town Recent college graduate Alex Eggleston gathers weirdos from the internet to investigate the mystery around Sammy Pak a mysterious woman who goes missing in a supernatural event The player can control the characters in turn based battles where normal everyday objects are used as weapons The combat consists of turn based moves with timing based actions which can increase the damage of an attack There are six dungeons to explore which include battles puzzles which have to be solved and traps that have to be avoided There are approximately twenty five hours of gameplay,Missing
"[13, 14]",2755,Kinectimals,"[6, 12]",28.69534336671835,Kinectimals is a video game for the Xbox 360 that uses Kinect with versions also available for various mobile devicesIn the game players can interact with virtual animals in a manner akin to pets gameplay includes activities such as teaching tricks to the animal guiding the animal around an obstacle course and freeform play    The video game is aimed at a young audience particularly children and includes eleven different virtual animals all based on wild cats Kinectimals was developed by Frontier Developments and was a launch title for Kinect,Missing
[5],1838,Painkiller: Redemption,"[3, 6]",28.56303586825849,Painkiller  Redemption continues the story of Daniel and Belial as they joined forces for the first time to end the bloody conflict between heaven and hell You will discover all new maps fight off literally thousands of demonic fiends and lose yourself in the intense gameplay rounded off with an absorbing heavy metalsoundtrack    The newest addon brings the Painkiller franchise back to its roots Breathtaking action thousands of monsters and exotic weapons are a solid foundation for a Painkiller game    The game also features a tactical component while reaching your objectives in each level you unlock Tarot Cards which will soon prove to be very helpful In additional to that collecting souls of fallen enemies will temporarily transform you into a mighty demon,Missing
"[9, 31, 32]",11712,DreadOut,"[3, 6, 14]",28.01949166118198,When twilight fades Where darkness reigns  DreadOut is a third person supernatural horror game where you play as Linda a high school student trapped in an old abandoned town Equipped with her trusty smartphone she will battle against terrifying encounters and solve mysterious puzzles which will ultimately determine her fate Help her overcome the challenges that will stand before her Survive the Dread,When a group of high school students went astray from a field trip they came across something totally unexpected A town long forgotten trapped in a peaceful state of slumber What they did not realize was what lurks within And what seemed like an innocent stroll turns into disaster as the secluded town reveals its dark and terrible secrets The presence of sinister forces from beyond their realm of existence  It all comes down to Linda She will experience stirrings of unfamiliar powers emerging from within herself These new found abilities might just be the only way she can save her own life and those of her friends
[5],3113,Soldier of Fortune: Payback,"[6, 9, 12]",27.69240748715918,Soldier of Fortune Payback is a firstperson shooter video game and the third installment of the Soldier of Fortune game series Unlike the previous two Soldier of Fortune games which were developed by Raven Software utilizing the Quake 2 and Quake 3 engines Payback was developed by Cauldron HQ16 developed with Cauldrons inhouse CloakNT engine used in their previous first person shooter game Chaser It is the first game of the series released for the Xbox 360 and PlayStation 3 The game was released on 14 November 20073,Missing
[8],135992,Balan Wonderworld,"[6, 48, 49, 130, 167, 169]",27.60449537768492,Balan Wonderworld is a wondrous actionplatformer game themed around a mysterious musical theatre  The stars of the show will use special abilities from a multitude of characterful costumes as they adventure in the bizarre and imaginary land of Wonderworld Here memories and vistas from the real world mix with the things that people hold dear  Twelve different tales await our stars in Wonderworld each with their own unique quirks They will explore all corners of these labyrinthine stages using all the tricks and gimmicks hidden along the way to get to the heart of each touching story,The two main characters who wander into Balan Wonderworld are Emma and Leo A mysterious theatre leads the duo into a strange new world full of bizarre sights and whimsical residents  But not all is well in this world and led by an enigmatic maestro called Balan the duo must explore the land in a quest to restore happiness and heal the hearts and minds of all they encounter  Of course it wouldnt be much of a game if this was a simple task There will be lots of obstacles in Emma and Leos way  but fortunately they were given just tools for the job Or more specifically the costumes
