genres,id,name,platforms,rating,storyline,summary
"[12, 25, 31, 32]",145089,Nobody Saves the World,"[6, 48, 49, 130, 167, 169]",79.99951375674657,Complete Quests to discover and swap between many varied and distinct Forms Mix and match abilities in unique and interesting ways to find and complete even more difficult Quests and unlock more powerful Forms Explore a vast overworld clearing procedurally generated dungeons in an effort to beat back The Calamity and Save the World,Nobody Saves The World is a new twist on action RPGs in which you play many different character Forms each with their own unique gameplay mechanics The Calamitys power is growing and nobody can save the world now Good thing you are Nobody
"[12, 31]",113431,Ys IX: Monstrum Nox,"[6, 48, 130, 167, 170]",79.99944135395006,Missing,While imprisoned in Balduq Adol is cursed and becomes a Monstrum With his newfound powers he must stop the Grimwald Nox from consuming the city
[25],111750,Devil May Cry 5: Deluxe Edition,"[6, 48, 49]",79.99926624583465,Missing,The ultimate Devil Hunter is back in style in the game action fans have been waiting for The Deluxe Edition includes the full game plus additional content
"[2, 31]",27825,Sam & Max: Save the World - Episode 6: Bright Side of the Moon,"[5, 6, 12]",79.99857684219677,Missing,What started out as a local mindcontrol scheme has grown to global proportions and Sam  Max are off to the moon to save the entire planet from a lifetime of hypnotic enslavement But when chaos collides with tranquility have the Freelance Police finally met their match
[9],6826,Bust-a-Move 4,"[6, 7, 9, 22, 23, 46, 52]",79.9983156686831,Missing,Puzzle Bobble 4 also known as BustaMove 4 in North America and Europe is the third sequel to the video game Puzzle Bobble and is the final appearance of the series on the Arcade PlayStation and Dreamcast The game is also the final title to be recognizably similar in presentation to the original  Building upon the success of Puzzle Bobble 3 the game adds a pulley system that requires two sets of bubbles attached to either side of a rope hanging across two pulleys The game contains a story mode for single player play  In total the game features 640 levels The console version features a level editor to either create and save a level set a succession of levels or to create an unlimited amount of extra levels and stages It also has an alternative story mode
"[2, 12, 31, 32, 34]",13171,2064: Read Only Memories,"[3, 6, 14, 46, 48, 49, 72]",79.99817240179841,Missing,In NeoSan Francisco a vibrant city of low life and high tech you will witness the worlds first sapient robot learning to grow and live as you become embroiled in the darkest scandal of 2064
"[2, 9, 13, 15, 31]",7516,Titanic: Adventure out of Time,"[6, 14]",79.99699691583574,The game begins in April 1942 with the main character whose name is Frank Carlson being caught in an air raid during the London Blitz of World War II and being sent back in time to 1912 with an opportunity to change history In 1912 he was a British secret agent on the RMS Titanic who must retrieve a priceless copy of the Rubáiyát of Omar Khayyám and now has a second chance to complete his mission The openended gameplay allows the player to either follow the storyline by solving puzzles or simply explore the rooms of the ship The players first mission is to locate and retrieve the The Rubáiyát which is revealed to have been stolen earlier in the year and is now suspected of being in the possession of Zeitel a German Oberst Colonel who is traveling on the Titanic in the manner of inspecting embassies in the United States and Central America Traveling with the Colonel is his young protegé Willi Von Haderlitz It is revealed that the Colonel has made a deal with an art dealer from London named Sasha Barbicon to exchange The Rubáiyát for an apparently unimportant painting in which there are hidden war plans stolen from the British government They each act through an intermediary gobetween a Serbian stowaway named Vlad Demonic In addition to The Rubáiyát and the painting the player learns that Willi is a spy for the Russians and has a notebook with names of top Bolshevik leaders The notebook must be handed over to the Ochrana so that Communist rebels will be executed preventing a threat to the Czar Barbicon is also in possession of a stolen diamond necklace that will finance a Serbian military group called the Black Hand During his mission the agent also becomes involved in several subplots which do not pertain to the central mission or for that matter the winning conditions of the game One important subplot begins by meeting the ships gossip hound in the form of a wealthy middleaged spinster named Daisy Cashmore who hands the player a note to meet with Andrew Conkling the owner of Conkling Steel Conkling tells the player to retrieve a business document that had been stolen by Shailagh Hacker an Irish maid who had worked at his house in London Other plots include meeting and helping the Lambeths a wealthy couple whose marriage has deteriorated as well as meeting with other passengers including Leyland Trask a psychic from Boston Reverend Edgar Troutt a religious preacher from Sunapee New Hampshire who is returning from an African mission in Nyasaland and Max Seidelmann an American freelance businessman from Philadelphia who provides a back story and insight of varying value Assisting the player from time to time is fellow agent Penny Pringle The number of objects the player retrieves before escaping the ship affects the final cut scene and how history is played out If the player manages to retrieve all four objects history is altered with World War I the Russian Revolution and World War II never occurring  without The Rubáiyát andor the diamonds the Black Hand is not financed and their plan to assassinate Archduke Franz Ferdinand of Austria which would have sparked World War I fails The painting Barbicon was going to trade in to Zeitel was actually painted by Adolf Hitler and its fame after it is recovered from the sinking causes Hitler to become a famous artist averting World War II the war plans hidden in it are actually useless and so whether or not they are found is irrelevant to history The notebook with the names of the Bolsheviks makes its way to the Czar and the Russian Revolution never occurs With the world knowing peace and prosperity the character retires after a successful career to a world of peace Depending on which items the player fails to collect history will change but certain wars or revolutions will still occur alternative endings exist where Germany conquers Russia and the United Kingdom or the Soviet Union conquers Europe to name two,Titanic Adventure Out of Time is a computer game developed by Cyberflix It was published in the United States and Europe by GTE Entertainment and Europress respectively and released on November 12 1996 The game is a pointandclick adventure game which sees the player traveling around a virtual representation of the RMS Titanic Titanic Adventure Out of Time comes in three versions a PC Macintosh or hybrid version that works on both the Windows and Mac Version 10 of the game is an upgrade of the game from GTE Entertainment to just Cyberflix and is a stability upgrade first released in 1997 It comes in either a threefold CD jacket or a jewel case version The French and German version of the game comes in two paper sleeves The Mac and Windows versions were released first produced by Cyberflix and distributed by GTE Entertainment in 1996 Hybrid versions of the game which are compatible with both the Mac and Windows operating systems were distributed and produced by Cyberflix after GTE Entertainment went out of business in 1997 Later versions were distributed by Hammerhead Entertainment who took over production after Cyberflix also went out of business in 1998 The game is available in seven languages English French German Dutch Russian Polish and Korean Characters in Titanic Adventure Out of Time were rendered by way of photographs of actors given limited animation in sync with dialogue The producers of this game used this same style of rendering for a previous adventure entitled Dust A Tale of the Wired West
"[12, 31]",939,Wizardry 8,"[6, 14]",79.99666557352523,Arnika is the natural destination for any traveler visiting the planet Dominus Arnika is home to the Higardi this worlds most civilized advanced race In normal times the city is a busy peaceful commercial center  Yet these are not normal times Rumors of the coming Ascension have attracted all manner of strangers to Dominus At first the Higardi welcomed the new arrivals with open arms even allowing the inquisitive Mook to set up a research station within their city  Then the Dark Savant arrived in his Black Ship The Savant immediately cut off Arnikas port shooting down any ship that tried to land He sent his army of Savant Troopers into the city searching frantically for some unnamed artifact And he erected a massive tower on the edge of town a tower designed to intimidate the population into submitting to his rule  Arnika is now only a shadow of what it once was Its City Hall lies in ruins its spaceport has been closed and much of its population has fled in terror At times Savant Troopers wander the streets Still the brave few who remain in the city offer what help they can to the weary traveler,The universe is in the throes of violent upheaval and change Vast and mysterious forces are preparing for the final confrontation A small group of heroes from distant lands must plunge into the heart of the maelstrom to uncover longforgotten secrets and bring about a new era Should they succeed they will gain the powers of the gods themselves If they fail countless worlds will fall into the grip of darkness  Wizardry 8 raises the standard for fantasy roleplaying with a vengeance Prepare yourself for a new level of excitement immersiveness and depth that made roleplaying games one of the bestselling bestloved genres of all time  Prepare to experience the culmination of a prestigious RPG series Enter a vast world of intrigue and wonder Unravel a gripping nonlinear storyline Battle your way to victory using your swords your magic and your wits Compete with rivals or align with allies as you struggle to ascend to the Cosmic Circle Take the battle to the dreaded Dark Savant in Wizardry 8 the phenomenal conclusion to the Dark Savant trilogy one of the most extensive and challenging stories ever told in classic roleplaying games
"[8, 9, 31, 32]",22917,Gris,"[6, 14, 34, 39, 48, 49, 130, 167, 169]",79.99657266951756,Missing,Gris is a hopeful young girl lost in her own world dealing with a painful experience in her life Her journey through sorrow is manifested in her dress which grants new abilities to better navigate her faded reality As the story unfolds Gris will grow emotionally and see her world in a different way revealing new paths to explore using her new abilities  Gris is a serene and evocative experience free of danger frustration or death Players will explore a meticulously designed world brought to life with delicate art detailed animation and an elegant original score Through the game light puzzles platforming sequences and optional skillbased challenges will reveal themselves as more of Griss world becomes accessible
"[11, 15]",678,Empires: Dawn of the Modern World,[6],79.99562288649331,Missing,Empires Dawn of the Modern World is a 2003 historybased realtime strategy computer game developed by Stainless Steel Studios and released on October 21 2003 Considered an unofficial sequel to Empire Earth the game requires players to collect resources to build an empire train military units and conquer opposing civilizations  Based on a slightly compressed version of world history Empires covers five eras from the Medieval Age to World War II The game features nine civilizations England the Franks Korea and China are playable from the Medieval Age to the Imperial Age the United States Russia Germany France and the United Kingdom are playable in the World War I and World War II ages  The game attracted positive critical reaction  In 2009 Activision terminated its multiplayer server contract with GameSpy Multiplayer can be played unofficially in Gameranger services
