genres,id,name,platforms,rating,storyline,summary
[12],6545,Azure Dreams,[7],29.968212304089,Azure Dreams is set in a town called Monsbaiya Located in the desert the town prospers only because of the Monster Tower looming over it In this town lives a skilled and famous monster tamer named Guy On a stormy day Guy disappears in the tower never to be seen again Ever since he disappeared Guys family has struggled to get by putting all their hopes on Koh his son who will be allowed to enter the tower when he turns 15 When Koh finally reaches adulthood he meets a vagabond familiar named Kewne a monster that can speak the human language Kewne and Koh then embark on a quest to reach the top floor of the Monster Tower and find out the truth about Guys fate,The game offers a lot of choice in respect to how individual players wish to play The main focus of the game is entering the tower and destroying its denizens collecting treasure and monster eggs to hatch into familiars Each monster has hidden spells unique traits and abilities Koh can also improve the town along with decorating his home
[31],116584,The Lord of the Rings: Gollum,"[6, 48, 49, 130, 167, 169]",29.88727906697126,Missing,The Lord of the Rings Gollum is a storydriven action adventure Take on a perilous journey as Gollum chasing the only thing that is precious to him Gollum is skillful and cunning but also torn by his split personality One mind two egos  you decide
[31],148289,My Friend Peppa Pig,"[6, 48, 49, 130, 167, 169, 170]",29.65497557685175,Missing,Start a funfilled adventure by becoming Peppa Pigs new friend Take your first steps into Peppas world by creating your character and choosing your clothes If you want to be a fox in a pirate hat you can Or be a rabbit in a nice dress and sunglasses  its your choice There are so many possibilities even before you ring the doorbell at Peppas house  What happens in your story is all up to you Everywhere you go Peppa will suggest fun things to do  just like youre in an episode of the TV show Will you help Daddy Pig find his lost glasses in the house Can you guess the animal from the tracks you follow in the Forest When it rains youll surely want to jump in muddy puddles  just dont forget your boots  All your favorite characters are here and theyre excited to meet you Play with George and Mummy Pig at Peppas House Sing with Madam Gazelle and the other children at Peppas School Visit the Beach Snowy Mountain the Museum even Potato City Every play session is a new experience as you choose new paths and try new things with your friend Peppa Pig
"[8, 31]",3848,Carmen Sandiego: The Secret of the Stolen Drums,"[8, 11, 21]",29.0,Missing,Join ACME agentintraining Cole Gannon along with Jules Argent and Shadow Hawkins in an allnew action adventure on the trail of Carmen Sandiegothe worlds greatest thief This case takes Cole around the world from a museum in New York and the beaches of New Zealand to the Incan ruins of Machu Picchu While on the case youll need to use acrobatics stealth martial arts and most of all your wit to stop Carmen from unearthing the drums and making off with the lost treasure
"[12, 31, 32]",30206,YIIK: A Postmodern RPG,"[6, 14, 39, 48, 130]",28.7581951407636,Missing,The game is a colourful 3D JapaneseStyle RPG It is set in the 1990s and is based around a mystery in a small town Recent college graduate Alex Eggleston gathers weirdos from the internet to investigate the mystery around Sammy Pak a mysterious woman who goes missing in a supernatural event The player can control the characters in turn based battles where normal everyday objects are used as weapons The combat consists of turn based moves with timing based actions which can increase the damage of an attack There are six dungeons to explore which include battles puzzles which have to be solved and traps that have to be avoided There are approximately twenty five hours of gameplay
[31],72623,Sea World: Shamu's Deep Sea Adventures,"[8, 11, 20, 21, 24]",28.0,Missing,Based around the lovable Shamu from SeaWorld
[14],3909,Evolution Snowboarding,"[8, 21]",28.0,Missing,Evolution Snowboarding is a sports video game first released on February 25 2002 for the Nintendo Gamecube It was later released on November 26 for the PlayStation 2 The game was both developed and published by Japanese game company Konami The game takes a new perspective on the snowboarding genre Evolution Snowboarding has also spawned a sequel titled Evolution Skateboarding
[10],3841,Butt-Ugly Martians: Zoom or Doom,"[8, 21]",28.0,Missing,ButtUgly Martians Zoom or Doom is a 2002 racing video game released by Runecraft The game is based on the computer animated television series ButtUgly Martians  The gameplay of Zoom or Doom focuses mainly on competitive racing there are seven different racers in which two have to be unlocked by the player each with different advantages such as handling and speed There is also a time attack mode as well as a practice mode and multiplayer mode which allows the player to race with a friend The game has no autosave feature meaning the player has to manually save the game or else all progress will be lost
[5],3113,Soldier of Fortune: Payback,"[6, 9, 12]",27.69240748715918,Missing,Soldier of Fortune Payback is a firstperson shooter video game and the third installment of the Soldier of Fortune game series Unlike the previous two Soldier of Fortune games which were developed by Raven Software utilizing the Quake 2 and Quake 3 engines Payback was developed by Cauldron HQ16 developed with Cauldrons inhouse CloakNT engine used in their previous first person shooter game Chaser It is the first game of the series released for the Xbox 360 and PlayStation 3 The game was released on 14 November 20073
[8],135992,Balan Wonderworld,"[6, 48, 49, 130, 167, 169]",27.60449537768492,The two main characters who wander into Balan Wonderworld are Emma and Leo A mysterious theatre leads the duo into a strange new world full of bizarre sights and whimsical residents  But not all is well in this world and led by an enigmatic maestro called Balan the duo must explore the land in a quest to restore happiness and heal the hearts and minds of all they encounter  Of course it wouldnt be much of a game if this was a simple task There will be lots of obstacles in Emma and Leos way  but fortunately they were given just tools for the job Or more specifically the costumes,Balan Wonderworld is a wondrous actionplatformer game themed around a mysterious musical theatre  The stars of the show will use special abilities from a multitude of characterful costumes as they adventure in the bizarre and imaginary land of Wonderworld Here memories and vistas from the real world mix with the things that people hold dear  Twelve different tales await our stars in Wonderworld each with their own unique quirks They will explore all corners of these labyrinthine stages using all the tricks and gimmicks hidden along the way to get to the heart of each touching story
"[2, 31, 32]",19132,NightCry,"[6, 46]",27.57575757575757,Missing,Welcomed aboard a luxurious cruise liner you are spending your time enjoying this rare opportunity But at the height of the evening things are not as they appear as a murder brings it all to a grinding halt With no idea which direction to turn blame is thrown around the ship in panic as the guests start to suspect one another As night falls and a cry echoes out through the ship the true nightmare begins  NightCry is a 3D pointandclick adventure game Click to move your character and search the ship Interact with objects by selecting them Make sure you check it all carefully for the clues you need may not be easy to find But searching isnt all you will be doing As you search you will be haunted and the Scissor Walker will be coming for you
"[8, 31]",6231,Sonic the Hedgehog,"[9, 12]",25.58023923466497,Missing,The game shares its name with two earlier Sonic games a manga a television series a comic book series and their eponymous main character To disambiguate the game has been referred to as Sonic 2006 It was produced in commemoration of the 15th anniversary of the Sonic the Hedgehog series The game faced multiple issues during development which resulted in rushing the product despite existing bugs Both versions were heavily criticized for long loading times poor camera system gameplay glitches complicated plot and sloppy character control  The game faced development issues which resulted the product being rushed and ultimately a poor product being delivered Upon release it was widely criticized for its numerous gameplay glitches long loading times and complicated plot
[14],124495,Jikkyou Pawafuru Puroyakyu 9: Kettei-ban,"[8, 21]",25.0,Missing,Missing
[14],124494,Jikkyou Pawafuru Puroyakyu 12,"[8, 21]",25.0,Missing,Jikkyō Powerful Pro Yakyū 12 is the 12th installment in the series of baseball games by Konami It features a tournament mode with 12 real professional teams and 15 high school teams exhibition mode for one or two players and the series trademark Success mode where players create a player character and train him to become a professional baseball player
[14],124493,Jikkyou Pawafuru Puroyakyu 11: Chou Kettei-ban,"[8, 21]",25.0,Missing,Missing
[14],124492,Jikkyou Pawafuru Puroyakyu 10: Chou Kettei-ban 2003 Memorial,"[8, 21]",25.0,Missing,Missing
[14],92694,Jikkyou Pawafuru Puroyakyu 9,"[8, 21]",25.0,Missing,Missing
[14],92692,Jikkyou Pawafuru Puroyakyu 10,"[8, 21]",25.0,Missing,Missing
[14],69275,Jikkyou Pawafuru Major League,"[8, 21]",25.0,Missing,This is the first game in an western offshoot from the main Power Pro series featuring Major League Baseball American players
[14],61401,The Baseball 2003,"[8, 21]",25.0,Missing,Missing
"[10, 14]",4193,SX Superstar,"[8, 11, 21]",25.0,Missing,SX Superstar is a video game of the racing genre by Climax Studios and published by Acclaim under their AKA Acclaim brand It was released for the Xbox GameCube and PlayStation 2
[8],4165,Castleween,"[8, 21, 24]",25.0,Missing,Alicia and Greg set off with their friends one Halloween night to look for a house in the forest where they could stock up on goodies Upon reaching the house Greg and Alicias friends are turned into stone by a bogeyman To save their friends the two heroes must enter the world of the dead In order to find their friends and set them free they need to make it through cemeteries haunted houses and sinister laboratories Only one person at a time is allowed to enter the world of the dead so Alicia and Greg must take turns in order to make their way through the danger that awaits them Friends like the Goblin and Jack OLantern will teach them magic tricks that will help them to overcome obstacles along the way They must find the Mad Scientists laboratory to get their friends home safe and sound
Missing,4015,Momotaro Dentetsu 12: Nishi Nihon-hen mo Ari Masse!,"[8, 21]",25.0,Missing,Missing
Missing,4014,Momotaro Dentetsu 11: Black Bombee Shutsugen! no Maki,"[8, 21]",25.0,Missing,Missing
"[5, 31]",4003,Men in Black II: Alien Escape,"[8, 21]",25.0,Missing,Men in Black 2 Alien Escape is a fastpaced thirdperson perspective action game liberally infused with the trademark humor of the smash 1997 movie and the upcoming sequel The game is divided into five distinct episodes including a Nuclear Station the Docks and the streets of Manhattan All episodes include numerous levels and challenges to complete prior to progressing through the game
"[5, 8, 33]",3996,MaxPlay Classic Games Volume 1,"[8, 21]",25.0,Missing,A compilation of video games for the Nintendo GameCube and PlayStation 2  The collection features ten games all unofficial remakes of classic games It includes Invaders Loop the Loop Dragon Tiles 3 Bounty Hunter X Chopper 2 Jetpack 2 Paddle Panic Pop Em Promixa and Super Power Shot Available only in Europe  It is the only unlicensed game for the GameCube and one of only a handful for the PlayStation 2
"[13, 14]",3991,Mark Davis Pro Bass Challenge,"[8, 21]",25.0,Missing,Mark Davis Pro Bass Challenge is a Fishing game developed by Sims and published by Natsume which was released in 2005
[14],3984,Major League Baseball 2K6,"[8, 11, 21]",25.0,Missing,Major League Baseball 2K6 simply known as MLB 2K6 is a Major League Baseball licensed baseball video game  It has new features such as Inside Edge World Baseball Classic online experience and many more This game also features various aspects that are new to baseball games including fans shouting the swing stick showboat catches fans catching balls and power rankings
[14],3929,Gekitou Pro Yakyuu,"[8, 21]",25.0,Missing,Missing
[14],3908,Evolution Skateboarding,"[8, 21]",25.0,Missing,Evolution Skateboarding is a 2002 skateboarding video game released by Konami for the PlayStation 2 and GameCube It consists of several popular skateboarders such as Rick McCrank Arto Saari Kerry Getz and Danny Way There is also a createaskater feature and an unlockable character for every skater the player completes the game as There are also sets of level specific songs such as the metalremix of the Metal Gear Solid theme and a Castlevania theme after unlocking the Vampire Hunter Levels are unlocked by beating a certain amount of objectives in a current level such as collecting items like boots and other objects performing tricks in certain areas of a level and the occasional grinding a certain amount of meters The Evolution Skateboarding engine was used in the bonus skateboarding mode included in the PlayStation 2 version of Metal Gear Solid 2 Substance
"[9, 10, 26]",3260,Muppets Party Cruise,"[8, 21]",25.0,Missing,The Muppets are starring in their first party game ever and no one knows how to party harder than the Muppets Join Kermit Miss Piggy Animal and many more of your other favorites in this interactive board game complete with 30 actionpacked minigames
"[2, 9, 31]",9092,Dracula 2: The Last Sanctuary,"[6, 7, 14, 34, 39]",24.82829611476829,Missing,The bloodcurdling sequel to Dracula Resurrection brings an even scarier adventure to life  After saving Mina Jonathan Harker and his beloved return to London carrying a mysterious Dragon Ring
"[10, 13, 14]",138766,Riders Republic,"[6, 48, 49, 167, 169, 170]",24.07991310961588,Missing,Jump into the Riders Republic massive multiplayer playground Bike ski snowboard or wingsuit across an open world sports paradise Join a massive multiplayer community and participate in an avalanche of diverse activities in real time with others
[8],7806,Bubsy 3D,[7],23.00995482026645,Missing,Bubsy 3D is the fourth Bubsy game to date and the only title in 3D the game was released in 1996 for the PlayStation video game console It is a sequel to the original in terms of the story and takes place on the Woolies home planet Rayon Bubsy 3D has 16 main levels and two boss levels and the main characters goal is to defeat the two queens of Rayon Poly and Esther The player can collect rockets as well as atoms in order to eventually escape from planet Rayon The graphics are very simplistic even for their time with a dense fog that covers entire levels throughout the game Bubsy actively speaks throughout the game based on various actions performed by the player Planned releases for the Sega 32X and Sega Saturn were cancelled Bubsy 3D was panned by both critics due to its confusing control schemes and camera angles It was featured on Seanbabys EGM Crapstravaganza The 20 Worst Games of All Time list as well as in eighth place on GameTrailers 2006 Top 10 Best and Worst Games list where it was described as a terrible terrible clone
[8],118948,Franklin: A Birthday Surprise,"[8, 21]",23.0,Missing,Franklin wants to give his best friend Bear a surprise birthday party Franklin is very busy getting ready for the party He has to prepare the food send out invitations get the decorations and do some errands He also has to get Bear to the party without giving away the secret Franklin has to progress through 10 different levels to get ready for the party solving problems and avoiding obstacles Franklin finds it difficult to concentrate in his errands as his friends wants to play hideandseek
[12],4198,Tensai Bit-Kun: Gramon Battle,"[8, 21]",23.0,Missing,Tensai BitKun Gramon Battle is a tactical roleplaying video game released in 2003 only in Japan
