genres,id,name,platforms,rating,summary,storyline
"[5, 8, 31, 32, 33]",122311,Exit the Gungeon,"[6, 39, 48, 49, 130]",59.99921775752036,Exit the Gungeon is a bullet hell dungeon climber immediately following the adventures of the misfit Gungeoneers and their journey for personal absolution in Enter the Gungeon The Gungeon has become a paradox and is collapsing Armed with an everchanging weapon an insatiable need to loot and the trusty dodge roll each of our heroes must ascend and escape via their own unique route of increasingly perilous elevators Battle against the last and most bitter of the Gundead at a frantic pace slowing down just long enough to chat with some familiar faces and a few new ones Shifting rooms enemies bosses bizarre weapons and items all combine to ensure that no two attempts to Exit the Gungeon are the same,Missing
"[8, 12, 31, 33]",19962,Legend of Kay Anniversary,"[6, 9, 12, 14, 41, 48, 130]",59.99658171597858,10 years after its initial release Legend of Kay  Anniversary is a thoroughly remastered version of the original game highresolution textures new more detailed character models modern rendering techniques and crystalclear surround sound give this great classic a new shine Full of fond allusions to old martial arts films and pop culture quotes Legend of Kay  Anniversary is both an incredibly funny game and a challenging actionadventure for young and old alike,Missing
"[4, 12, 31, 32]",54752,Sinner: Sacrifice for Redemption,"[6, 14, 48, 49, 130]",59.9934036939314,Sinner Sacrifice for Redemption is a boss battler actionRPG Face eight abhorrent bosses the first seven each based on one of the deadly sins Before each epic clash you must sacrifice a stat and level down to enter combat Each fight will be tougher than the last as you wage war against sin itself,Missing
[32],31936,Party Panic,"[3, 6, 14, 48, 49]",59.99159606218487,Party Panic is a crazy online and localmultiplayer party game Compete against your friends in 15 rapid fire minigames or race through the brutal Gauntlet There is even a built in drinking game Youll laugh youll cry its stupid,Missing
"[8, 31]",3779,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,"[8, 21]",59.99004975124378,This platform adventure game finds Jimmy returning from outer space  with an alien lifeform stowaway The alien starts cuddly and cute but quickly becomes a ferocious beast with a voracious appetite for destruction Once again Jimmy Neutron must use a revolutionary invention system to create some inspired gadgets to capture and contain the quickly multiplying alien attack Players are able to create over 26 gizmos 11 inventions and four super inventions There are of course also secret gizmos hidden in each level to give Jimmy Neutron enhanced powerups With the help of these gadgets Jimmy makes his way through six episodes spanning 15 levels including Jimmys Lab Twonkus3 The Neighborhood Downtown Retroland and the Final Showdown,Missing
[5],27270,Payday 3,"[6, 167, 169]",59.98214238335238,Payday 3 is the much anticipated sequel to one of the most popular coop shooters ever Since its release Paydayplayers have been reveling in the thrill of a perfectly planned and executed heist Thats what makes Payday a highoctane coop FPS experience without equal Step out of retirement back into the life of crime in the shoes of the Payday Gang the envy of their peers and the nightmare of lawenforcement wherever they go Several years after the crews reign of terror over Washington DC has ended they assemble once again to deal with the threat that roused them out of early retirement,Missing
[4],1615,Mortal Kombat: Unchained,[38],59.98078893617726,Mortal Kombat Unchained is the portable equivalent of the console game Mortal Kombat Deception It contains all the characters from the GameCube version along with four exclusive to the PSP version Blaze Frost Jax and Kitana All characters have a vast arsenal of moves with weapons and fatalities The arenas are multitiered interactive and contain death traps Next to the regular battles you can play a freeroaming adventure in the Konquest Mode battle an endless wave of opponents in the Endurance Mode exclusive for the PSP go headtohead over WiFi against another human player or try a minigame such as Chess Kombat chess with the MK characters and Puzzle Kombat Tetris with a twist,Missing
[31],22142,Saints Row IV: Enter the Dominatrix,"[6, 9, 12]",59.9787625654821,Enter the Dominatrix reveals the wild hijinx of the original vision of the canceled SR3 expansion Steelport has been taken over by the Dominatrix and only the Saints can stop her from trapping everyone in a virtual prison Includes behindthescenes commentary and the return of some fanfavorite characters,Missing
"[5, 7, 8, 9, 31, 32]",1892,Pid,"[6, 9, 12, 14]",59.97571230488433,Pid was developed by Might and Delight for PC Mac XBox and PlayStation and released in 2012 It is a storydriven platformer that includes a variety of puzzles It was praised for the artwork presentation and soundtrack and received the 2012 European Games Award in the Innovate Newcomer category,Pid follows the story of a young boy named Kurt who is left stranded in an alien world Kurt must travel through a number of different places including parts of a castle and various places within a town while defeating robotic enemies and befriending some of the locals in their struggle against a massive conspiracy so that he can return home Kurts primary method for traveling and solving puzzles is a beam that he is able to propel himself with
"[8, 9, 33, 35]",3673,Shrek Super Party,"[8, 11, 21]",59.97516299285935,Shrek Super Party is a party video game released in 2002 by Mass Media The game is based on the Shrek movie series This game is also similar to PacMan Fever which has the same developer and the Mario Party series of games The characters Shrek Fiona Donkey Lord Farquaad Thelonius and Monsieur Hood are available for play Five realms are available for play each with its own minigames The Keep The Windmill The Swamp The Castle and The Farm,Missing
