genres,id,name,platforms,rating,summary,storyline
[31],20196,Metal Gear Solid: The Legacy Collection,[9],99.60112205525688,Metal Gear Solid The Legacy Collection is a video game compilation released exclusively for the PlayStation 3 It includes all the mainline Metal Gear games directed and designed by Hideo Kojima including the VR Missions standalone expansion that were released from 1987 through 2012 Bonus content include motion comic adaptations of the Metal Gear Solid graphic novels by Kris Oprisko and Ashley Wood and a 100page booklet that catalogs numerous promotional posters brochures and advertisement related to the games in the compilation,Missing
[12],42931,Bloodborne: Game of the Year Edition,[48],97.1053230259084,With new story details learn the tale of hunters who once made Yharnam their hunting grounds meet new NPCs and discover another side of the history and world of Bloodborne Includes The Original Bloodborne Experience  Bloodborne The Old Hunters Expansion  Bloodborne The Old Hunters,Missing
"[31, 34]",12329,Fate/hollow ataraxia,[46],96.46940198172223,Fatehollow ataraxia is a Japanese visual novel game and the sequel to Fatestay night The word ataraxia in the title is a Greek term for tranquility giving the title the combined meaning of empty or false tranquility The plot of Fatehollow ataraxia is based half a year after the events of Fatestay night Like its preceding counterpart the story is set in Fuyuki City Bazett Fraga McRemitz a member of the Mages Association and a master in the Fifth Holy Grail War wakes on the fourth day of the Fifth Holy Grail war with a new servant Avenger and no memory of what happened to her beforehand She and Avenger set off to fight and win the Holy Grail War,The plot of Fatehollow ataraxia is based half a year after the events of Fatestay night Like its preceding counterpart the story is set in Fuyuki City Bazett Fraga McRemitz a member of the Mages Association and a master in the Fifth Holy Grail War wakes on the fourth day of the Fifth Holy Grail war with a new servant Avenger and no memory of what happened to her beforehand She and Avenger set off to fight and win the Holy Grail War  Meanwhile Shirō Emiya lives a peaceful life with all of his friends from the Fifth Holy Grail War After one of her experiments changes time and space Rin Tohsaka leaves for the Mages Association in England to fix things The Servants sense a new danger while dark creatures appear soon afterward Shirō as a precaution sets off to ensure nobody is in danger and instead finds himself frequently meeting a mysterious girl Caren Ortensia  Both Bazett and Shirō find themselves in time loop that lasts four days beginning of the fourth day of the Fifth Holy Grail War Each time they die or survive four days they always awake on the first day of the loop aware of what has happened to them since the first time loop began Determined to end the loop Bazett Avenger and Shirō fight to discover the truth behind what is causing the endless four days
[15],42791,Yu-Gi-Oh! ARC-V Tag Force Special,[38],96.33887528517263,YuGiOh ARCV Tag Force Special is the seventh installment of the Tag Force video game series,Missing
"[12, 31]",19619,Steambot Chronicles,[8],95.57070928647701,Steambot Chronicles is a 2005 actionadventure roleplaying game developed and published by Irem Software Engineering in Japan for the PlayStation 2 It was later published by Atlus in North America and 505 Games in PAL regions The game features a sandboxstyle of steampowered mechbased gameplay,Missing
"[12, 31, 34]",2985,Persona 4 Golden,[46],95.26303337752492,An enhanced rerelease of Shin Megami Tensei Persona 4 2008 featuring qualityoflife improvements gameplay enhancements new locations balance tweaks online functionality new difficulty options an additional side character storyline and a changed endgame,Missing
"[5, 12, 31]",214790,BioShock,[9],95.16100264430528,The PlayStation 3 port of BioShock was released with exclusive content including the possibility to purchase a downloadable addon called Challenge Rooms and a harder difficulty level,In the year 1960 a plane crashes in the middle of the Atlantic Ocean with a man named Jack as the only survivor He has the apparent luck of resurfacing in front of what looks like a door to an underwater complex Without hesitating Jack enters the door and is greeted by slogans that praise the city of Rapture a paradise of free will built in the 1940s by a business magnate named Andrew Ryan However even before he assimilates all this new information the descent to this supposed paradise ends and he can only see ruins and chaos Learning about the destiny of Rapture will be now Jacks main motivation while he tries to survive the horrors that free can create
"[12, 31]",14647,Bloodborne: The Old Hunters,[48],93.92831478815725,The Old Hunters is the first Expansion for Bloodborne It features allnew locations bosses weapons and armour  Set in a nightmare world where hunters from the past are trapped forever explore brand new stages full of dangers rewards and deadly beasts to overcome Youll find multiple new outfits and weapons to add to your arsenal as well as additional magic to wield and add more variety to your combat strategy  With new story details learn the tale of hunters who once made Yharnam their hunting grounds meet new NPCs and discover another side of the history and world of Bloodborne,A world drenched in blood lit by a possessed moon Its light shows familiar buildings half swallowed by sludge leaning over distorted It is here that hunters of old riddled by nightmares endlessly pursue beasts The nightmare where the Hunters laid trapped forever crazed by the blood of mindless beasts is a manifestation of the misdeeds of the first Hunters all of whom are now trapped within this wretched world However secrets are secrets for a reason as some are unsettling and horrifying when unraveled  and yet its time someone undid this charade
"[5, 31]",6036,The Last of Us Remastered,[48],93.87072735200051,The Last of Us Remastered is an updated release of the PS3 game The Last of Us It is identical to the PS3 version but runs at a 1080p resolution and incorporates character models with a higher resolution There are also improved shadows and lighting upgraded textures 60 frames per second and other types of improvements In addition to the base game two map packs and the expansion The Last of Us Left Behind are included,Twenty years after a mutated fungus started turning people all over the world into deadly zombies humans become an endangered species Joel a Texan in his forties with the emotional range of a teaspoon to quote Hermione from Harry Potter finds himself responsible with the safety of a fourteen year old girl named Ellie whom he must smuggle to a militia group called the Fireflies And as if the infected arent enough of a hassle they also have to deal with the authorities who wouldnt let them leave the quarantine zone as well as other survivors capable of killing anyone who might have something useful in their backpacks
"[5, 31]",1009,The Last of Us,[9],93.37379790466295,A third person shooterstealthsurvival hybrid in which twenty years after the outbreak of a parasitic fungus which takes over the neural functions of humans Joel a Texan with a tragic familial past finds himself responsible with smuggling a fourteen year old girl named Ellie to a militia group called the Fireflies while avoiding strict and deadly authorities infected fungal hosts and other violent survivors,Joel a ruthless survivor with few moral lines left to cross lives in one of the last remaining Quarantine Zones These walledoff oppressive cities are run by whats left of the military Despite the strict martial law Joel operates in the black market of the city smuggling contraband for the right price  Joel is asked by a dying friend to look after Ellie a fourteenyearold girl with courage beyond her years What starts out as a simple job to deliver Ellie to another Quarantine Zone soon transforms into a profound journey that will forever change Joel and Ellie  As they journey across a postpandemic United States Joel and Ellie will encounter different factions of survivors that have each found a unique way of dealing with the infected humans the lack of supplies and the threat of other survivors As Joel and Ellie struggle to persevere they must learn to trust each other and work together in order to survive the realities of this new world
