genres,id,name,platforms,rating,summary,storyline
[31],116584,The Lord of the Rings: Gollum,"[6, 48, 49, 130, 167, 169]",29.88727906697126,The Lord of the Rings Gollum is a storydriven action adventure Take on a perilous journey as Gollum chasing the only thing that is precious to him Gollum is skillful and cunning but also torn by his split personality One mind two egos  you decide,Missing
[31],148289,My Friend Peppa Pig,"[6, 48, 49, 130, 167, 169, 170]",29.65497557685175,Start a funfilled adventure by becoming Peppa Pigs new friend Take your first steps into Peppas world by creating your character and choosing your clothes If you want to be a fox in a pirate hat you can Or be a rabbit in a nice dress and sunglasses  its your choice There are so many possibilities even before you ring the doorbell at Peppas house  What happens in your story is all up to you Everywhere you go Peppa will suggest fun things to do  just like youre in an episode of the TV show Will you help Daddy Pig find his lost glasses in the house Can you guess the animal from the tracks you follow in the Forest When it rains youll surely want to jump in muddy puddles  just dont forget your boots  All your favorite characters are here and theyre excited to meet you Play with George and Mummy Pig at Peppas House Sing with Madam Gazelle and the other children at Peppas School Visit the Beach Snowy Mountain the Museum even Potato City Every play session is a new experience as you choose new paths and try new things with your friend Peppa Pig,Missing
"[8, 31]",3848,Carmen Sandiego: The Secret of the Stolen Drums,"[8, 11, 21]",29.0,Join ACME agentintraining Cole Gannon along with Jules Argent and Shadow Hawkins in an allnew action adventure on the trail of Carmen Sandiegothe worlds greatest thief This case takes Cole around the world from a museum in New York and the beaches of New Zealand to the Incan ruins of Machu Picchu While on the case youll need to use acrobatics stealth martial arts and most of all your wit to stop Carmen from unearthing the drums and making off with the lost treasure,Missing
"[13, 14]",2755,Kinectimals,"[6, 12]",28.69534336671835,Kinectimals is a video game for the Xbox 360 that uses Kinect with versions also available for various mobile devicesIn the game players can interact with virtual animals in a manner akin to pets gameplay includes activities such as teaching tricks to the animal guiding the animal around an obstacle course and freeform play    The video game is aimed at a young audience particularly children and includes eleven different virtual animals all based on wild cats Kinectimals was developed by Frontier Developments and was a launch title for Kinect,Missing
[31],72623,Sea World: Shamu's Deep Sea Adventures,"[8, 11, 20, 21, 24]",28.0,Based around the lovable Shamu from SeaWorld,Missing
[5],3113,Soldier of Fortune: Payback,"[6, 9, 12]",27.69240748715918,Soldier of Fortune Payback is a firstperson shooter video game and the third installment of the Soldier of Fortune game series Unlike the previous two Soldier of Fortune games which were developed by Raven Software utilizing the Quake 2 and Quake 3 engines Payback was developed by Cauldron HQ16 developed with Cauldrons inhouse CloakNT engine used in their previous first person shooter game Chaser It is the first game of the series released for the Xbox 360 and PlayStation 3 The game was released on 14 November 20073,Missing
[8],135992,Balan Wonderworld,"[6, 48, 49, 130, 167, 169]",27.60449537768492,Balan Wonderworld is a wondrous actionplatformer game themed around a mysterious musical theatre  The stars of the show will use special abilities from a multitude of characterful costumes as they adventure in the bizarre and imaginary land of Wonderworld Here memories and vistas from the real world mix with the things that people hold dear  Twelve different tales await our stars in Wonderworld each with their own unique quirks They will explore all corners of these labyrinthine stages using all the tricks and gimmicks hidden along the way to get to the heart of each touching story,The two main characters who wander into Balan Wonderworld are Emma and Leo A mysterious theatre leads the duo into a strange new world full of bizarre sights and whimsical residents  But not all is well in this world and led by an enigmatic maestro called Balan the duo must explore the land in a quest to restore happiness and heal the hearts and minds of all they encounter  Of course it wouldnt be much of a game if this was a simple task There will be lots of obstacles in Emma and Leos way  but fortunately they were given just tools for the job Or more specifically the costumes
"[8, 31]",6231,Sonic the Hedgehog,"[9, 12]",25.58023923466497,The game shares its name with two earlier Sonic games a manga a television series a comic book series and their eponymous main character To disambiguate the game has been referred to as Sonic 2006 It was produced in commemoration of the 15th anniversary of the Sonic the Hedgehog series The game faced multiple issues during development which resulted in rushing the product despite existing bugs Both versions were heavily criticized for long loading times poor camera system gameplay glitches complicated plot and sloppy character control  The game faced development issues which resulted the product being rushed and ultimately a poor product being delivered Upon release it was widely criticized for its numerous gameplay glitches long loading times and complicated plot,Missing
"[10, 14]",4193,SX Superstar,"[8, 11, 21]",25.0,SX Superstar is a video game of the racing genre by Climax Studios and published by Acclaim under their AKA Acclaim brand It was released for the Xbox GameCube and PlayStation 2,Missing
[14],3984,Major League Baseball 2K6,"[8, 11, 21]",25.0,Major League Baseball 2K6 simply known as MLB 2K6 is a Major League Baseball licensed baseball video game  It has new features such as Inside Edge World Baseball Classic online experience and many more This game also features various aspects that are new to baseball games including fans shouting the swing stick showboat catches fans catching balls and power rankings,Missing
