genres,id,name,platforms,rating,storyline,summary
"[12, 25, 31, 32]",145089,Nobody Saves the World,"[6, 48, 49, 130, 167, 169]",79.99951375674657,Complete Quests to discover and swap between many varied and distinct Forms Mix and match abilities in unique and interesting ways to find and complete even more difficult Quests and unlock more powerful Forms Explore a vast overworld clearing procedurally generated dungeons in an effort to beat back The Calamity and Save the World,Nobody Saves The World is a new twist on action RPGs in which you play many different character Forms each with their own unique gameplay mechanics The Calamitys power is growing and nobody can save the world now Good thing you are Nobody
[25],111750,Devil May Cry 5: Deluxe Edition,"[6, 48, 49]",79.99926624583465,Missing,The ultimate Devil Hunter is back in style in the game action fans have been waiting for The Deluxe Edition includes the full game plus additional content
"[2, 31]",27825,Sam & Max: Save the World - Episode 6: Bright Side of the Moon,"[5, 6, 12]",79.99857684219677,Missing,What started out as a local mindcontrol scheme has grown to global proportions and Sam  Max are off to the moon to save the entire planet from a lifetime of hypnotic enslavement But when chaos collides with tranquility have the Freelance Police finally met their match
"[2, 12, 31, 32, 34]",13171,2064: Read Only Memories,"[3, 6, 14, 46, 48, 49, 72]",79.99817240179841,Missing,In NeoSan Francisco a vibrant city of low life and high tech you will witness the worlds first sapient robot learning to grow and live as you become embroiled in the darkest scandal of 2064
"[8, 9, 31, 32]",22917,Gris,"[6, 14, 34, 39, 48, 49, 130, 167, 169]",79.99657266951756,Missing,Gris is a hopeful young girl lost in her own world dealing with a painful experience in her life Her journey through sorrow is manifested in her dress which grants new abilities to better navigate her faded reality As the story unfolds Gris will grow emotionally and see her world in a different way revealing new paths to explore using her new abilities  Gris is a serene and evocative experience free of danger frustration or death Players will explore a meticulously designed world brought to life with delicate art detailed animation and an elegant original score Through the game light puzzles platforming sequences and optional skillbased challenges will reveal themselves as more of Griss world becomes accessible
"[5, 32]",137894,Roboquest,"[6, 49, 169]",79.99439556139745,The year is 2700 Humans live scattered through the desert struggling to survive Its looking pretty bleak  Until a young scavenger girl named Max stumbles across something that may help An old Guardian robot lying abandoned in the sand She reactivates him knowing that with a Guardian by her side she may be able to give mankind a fighting chance  Together the two begin to explore the mysterious canyons that surround them searching for answers and a way to survive  Theres just one problem The canyons are crawling with evil bots determined to stop them from advancing But whos controlling them And what are they guarding within,Roboquest is a fast FPS with roguelite mechanics set in a scifi world playable solo or in 2p coop
Missing,21178,The Dishwasher: Dead Samurai,[12],79.99069620610933,The Dishwasher The hyperviolent unnamed protagonist killed by the Cyborgs in hopes of making him one of their own the Dishwasher was saved by Chefhis mentorwho infused him with Alien Blood resurrecting him and giving him incredible powers The Dishwasher has flashbacks through a series of comicstrips about his life and hatred for the Cyborgs and their master Synthesis AI but more importantly of his sister Yuki who gave herself willingly to the Cyborgs His quest is simple destroy the head of the Cyborg army so that the world may be saved The Dishwasher has long black hair that covers the bulk of his face and he is naked save for a torn garment that covers his lower body,The Dishwasher Dead Samurai is a beat em up game
[31],8216,Assassin's Creed Brotherhood: The Da Vinci Disappearance,"[6, 9, 12]",79.98408410406212,Missing,The Da Vinci Disappearance is a downloadable content addition for Assassins Creed Brotherhood bundled alongside Animus Project Update 30
"[5, 12]",498,Borderlands,"[6, 9, 12, 14, 49, 130]",79.97965071300138,Missing,With its addictive action frantic firstperson shooter combat massive arsenal of weaponry RPG elements and fourplayer coop Borderlands is a breakthrough experience that challenges all the conventions of modern shooters Borderlands places you in the role of a mercenary on the lawless and desolate planet of Pandora hellbent on finding a legendary stockpile of powerful alien technology known as The Vault  Role Playing Shooter RPS  combines frantic firstperson shooting action with accessible roleplaying character progression  CoOp Frenzy  Fly solo in single player or drop in and out with up to 4 Player CoOp online for a maniacal multiplayer experience  Bazillions of Guns  Gun lust fulfilled with rocketlaunching shotguns enemytorching revolvers SMGs that fire lightning rounds and tons more  Radical Art Style  New visual style combines traditional rendering techniques with handdrawn textures to create a unique and eyecatching spin on the First Person genre  Intense Vehicular Combat  Get behind the wheel and engage in intense vehicletovehicle combat
"[5, 33]",136539,Doom Eternal: The Ancient Gods - Part One,"[6, 48, 49, 130, 169, 170]",79.97838953798075,Your war is not over slaying the Khan Maykr left an imbalance of power that threatens all of creation The legions of Hell have razed the heavens threatening to expand their control across dimensions With the aid of an old ally battle your way back to Urdak and decide the fate of the cosmos Your mission is now your own  Experience a new mission in your eternal fight against evil Unleash your vengeance and face your greatest test as you march back to the Maykrs realm Defeat powerful new threats restore order to the heavens and unearth the corruption that has thrown the universe into chaos,The Ancient Gods picks up after the end of the main story in a time where due to the Slayers actions the armies of heaven and hell have fallen out of balance The demons have flooded in to overtake the weakened angelic realm so the Slayers been called in to clean up the mess
"[15, 26, 35]",21574,Monopoly Streets,"[5, 9, 12]",79.97749933912763,Missing,To celebrate its 75th anniversary the world of Monopoly comes to life through a living breathing city that you can build own and monopolize MONOPOLY STREETS has everything you love about the board game presented as a street level tour of Mr Monopolys fully animated world  Engage in a headtohead race to evolve the surrounding city accumulate the most wealth and own it all Play against your friends live and online on Xbox 360 and PS3 New features such as property auctions add new excitement to the classic play  From the cheap motels on Baltic Avenue to the luxurious Boardwalk suites there is excitement around every corner in this remade classic
[5],5126,Rogue Trooper,"[5, 6, 8, 11]",79.97500316331616,The story is set on the planet NuEarth which is caught in the gravitational forces of two suns and a black hole used by Southers to warp into their space station high command where a perpetual war between the Norts and Southers is being fought in which millions have been killed During the war all forms of chemical and biological weapons have been used poisoning the planet and the troops of both sides must live in enclosed cities and only venture into the outside if wearing protective gear known as a biosuit The Southers have through genetic engineering done by the socalled gene genies developed a race of warriors who are immune to the deadly atmosphere and will therefore be superior troops the Genetic Infantry All of the GIs were made immune to all toxins diseases and acids except for one The Souther High Command deploy their secret weapon in an airborne assault but a traitor has betrayed the secret of the GIs to the Norts and they are massacred during the drop This is known as the Quartz Zone Massacre  Rogue apparently the only surviving GI until he meets Venus Bluegenes goes AWOL in order to track down the Traitor General responsible and avenge the rest of the GIs Along the way he thwarts numerous Nort schemes destroys some of Nortlands highest personnel such as Grand Admiral Hoffa and SergeantKaptain Natashov  All GIs possess a biochip implanted inside of the skull that contains their personality traits memories and consciousness After a GI dies his biochip can be inserted in a slot in another GIs equipment or weapon enabling him to control it The biochip can later be placed into a new body allowing the fallen GI to be reborn One quotation is were genetic infantry  even when were dead we dont escape from war,Intense 3rdperson action on the battlefields of Nu Earth  a poisoned planet where a seemingly endless war rages between the Norts and the Southers A futile struggle on a hostile planet with no clear end in sight  But there are tales of a lone warrior A man who can appear out of thin air and take out whole platoons then disappear back into the shadows to which he belongs A man who knows no allegiance but to his own mission and is hellbent on revenge He is the ultimate soldier the last survivor of the massacred Genetic Infantrymen  the Rogue Trooper
"[5, 9, 31, 32]",228258,Amnesia: The Bunker,"[6, 48, 49, 169]",79.97381651064045,Left all alone in a desolate WW1 bunker with only one bullet remaining in the barrel its up to you to face the oppressing terrors in the dark Keep the lights on at all costs persevere and make your way out alive A truly intense horror experience  Immerse yourself in the multiple ways of tackling survival In the shoes of the French soldier Henri Clément you are armed with a revolver gun a noisy dynamo flashlight and other scarce supplies to scavenge and craft along the way With randomization and unpredictable behavior no playthrough is the same  Hunted by an everpresent threat reacting to your every move and sound you must adapt your playstyle to face hell Every decision will change the outcome of how the game responds Actions bear consequences  Solve things your own way in a semiopen world You must explore and experiment to make your way out Figure out whats going on down here  what has happened to the other soldiers Where have all the officers gone What diabolical nightmare lurks underneath this hellscape Unravel the mysteries of the Bunker and get to know the nooks and crannies of this cruel sandbox to up your odds of survival,Amnesia The Bunker is a firstperson horror game set in a desolate WW1 Bunker Face the oppressing terrors stalking the dark corridors Search for and use the tools and weapons at your disposal while keeping the lights on at all costs Overcome fear persevere and make your way out alive
"[13, 14]",72967,World Soccer: Winning Eleven 9,"[6, 8, 11]",79.97187388311345,Missing,The Pro Evolution Soccer 5 often just PES5 European box art features Chelseas John Terry and Arsenals Thierry Henry The game was available for PC PlayStation 2 and Xbox It was the first game in the series to introduce the online mode on all consoles
"[12, 15, 16, 24, 31, 32]",152257,Wartales,"[6, 130, 169]",79.97117210770875,It has been a hundred years since the world saw the fall of the once great Edoran Empire at the hands of an unprecedented plague that swept the nation In the turmoil and uncertainty that has followed mercenary work banditry and thievery across the land is abundant as honor has long since become an almost entirely forgotten virtue  Now prepare to lead a group of unscrupulous characters who revel in such activity in a massive open world where combat death and a thirst for riches will shape and define your day to day life You are not special the chosen one or a once in a millennia hero ushering in a new era of peace Your goal is solely to survive and thrive in this harsh and hostile world  Only the bravest and most ambitious can hope to see their story written in the Wartales,Wartales is an open world RPG in which you lead a group of mercenaries in their search for wealth across a massive medieval universe Explore the world recruit companions collect bounties and unravel the secrets of the tombs of the ancients
"[12, 15, 16, 24, 31, 32]",120654,The Dungeon of Naheulbeuk: The Amulet of Chaos,"[6, 14, 48, 49, 130, 167]",79.96893784494175,Are you ready to dive into a tactical RPG chockfull of charm humor and crazy characters  They are clumsy inexperienced and feisty buttheyll have to endure each others company to get the dungeons treasure  However a feeling of déjàvu quickly arises  Guide this team of unlikely heroes in an adventure full of humor and chaos  The Naheulbeuk universe is an original creation by French author John Lang It started as a very popular audio comedy series parodying roleplaying games and heroic fantasy tropes Now the story is available in English and as a video game for the first time,Step into the wacky heroic fantasy universe of the Dungeon of Naheulbeuk Lead a team of unlikely and clumsy heroes in an epic and challenging tactical RPG Live an adventure filled with humor surprises and silly encounters
"[8, 31, 32, 33]",119403,New Super Lucky's Tale,"[6, 48, 49, 130]",79.96586581026497,Missing,Leap into a Playful Platforming Adventure for all ages  Run jump climb incredible heights burrow deep underground overcome enemies and explore amazing worlds on an epic quest to rescue the Book of Ages from the mysterious Jinx and his nefarious Kitty Litter  Experience an incredible variety of gameplay ranging from 3D openworld hubs to storybased adventure levels to 2D sidescrolling challenges rewarding minigames mindbending puzzles thrilling boss battles and a memorable cast of characters A true love letter to classic 3D platformers with hundreds of collectibles to gather tons of rewarding secrets to unlock and an entire wardrobe of costumes for the stylish adventurer  New Super Luckys Tale features all new levels story cinematics and character dialogue tighter movement and player controls a fully rotatable 3D camera and sweet upgrades to nearly every other aspect of the game including art and lighting UI sound music and more
"[8, 12, 25, 31, 32]",96394,Record of Lodoss War: Deedlit in Wonder Labyrinth,"[6, 48, 49, 130, 167, 169]",79.96170594773446,Deedlit awakens suddenly in a mysterious unknown place Where am I Why am I here With nobody around to respond her questions are met with only silence  Seeking answers Deed eventually sets off on foot alone,Record of Lodoss WarDeedlit in Wonder Labyrinth is a 2Dsyle Metroidvania actionexploration game based on Record of Lodoss War Immerse yourself in the gorgeous pixel animations and take advantage of abilities such as swapping weapons and get help from elemental spirits on your journey to solve the arcane mysteries of the labyrinth
"[12, 31]",26765,Octopath Traveler,"[6, 49, 130, 170]",79.96000204917534,Embark on a vast new roleplaying adventure as one of eight travelers all with their own origins paths and goals Where to begin Who to team up with Where to go next Only you can decide  Each traveler can use a distinct Path Action a specialized way of achieving objectives and interacting with people you encounter The warrior can challenge people to a duel whereas the dancer can allure others to follow her even into battle,A roleplaying game from the Bravely Default team is being developed exclusively for the Nintendo Switch They have brought a new world to life through a mix of CG pixel art and HD2D visuals
"[4, 5, 7, 8, 12, 13, 14, 15, 31, 33]",32617,Rec Room,"[6, 34, 39, 48, 49, 163, 165, 167, 384, 385, 386]",79.9579643821008,Missing,Rec Room is a great place to build and play games together Party up with friends from all around the world to chat hang out explore millions of playercreated rooms or build something new and amazing to share with us all
"[5, 12, 24]",13912,Mass Effect 3: Omega,"[6, 9, 12]",79.9569682874741,Missing,Omega has been seized by one of Cerberus most accomplished and brilliant agents General Oleg Petrovskyand Aria TLoak is plotting her revenge To reclaim her domain she must team up with Commander Shepard  Join Omegas infamous leader in her fight to retake the notorious black market station Navigate Omegas seedy underbelly as Aria joins your squad and you witness her legendary biotic powers and unrelenting ruthlessness firsthand Help Nyreen Kandros the valiant turian leader of the Talon mercenary group as she fights to free the enslaved people of Omega Face down fearsome new enemies including the Cerberusmanipulated Reaper the Adjutant  Shape Omegas future through four deathdefying missions and strike a devastating blow to the Illusive Mans plans
"[13, 15]",87210,Farming Simulator 19,"[6, 14, 48, 49, 130, 170]",79.95556483361912,Missing,Farming Simulator 19 takes the biggest step forward yet with the franchises most extensive vehicle roster ever Youll take control of vehicles and machines faithfully recreated from all the leading brands in the industry including for the first time John Deere the largest agriculture machinery company in the world Case IH New Holland Challenger Fendt Massey Ferguson Valtra Krone DeutzFahr and many more
