genres,id,name,platforms,rating,summary
[10],78292,Road Trip: Arcade Edition,[21],23.0,Road Trip Arcade Edition is the GameCube edition in the Road Trip series of racing games This game allows you to race tiny little toy cars around various oversized environments Most of the cars resemble superdeformed versions of popular automobiles but the actual model names are not used There are dozens of tiny cars to collect  Some of the tracks in this game appear to be scaled to the size of your racer others take place in oversized realworld environments like a house or a garden  The usual racing game modes are present single race championship and multiplayer Winning races allows you to purchase upgrades and other vehicles You can also link this game with Road Trip Shifting Gears
[12],20495,Tao's Adventure: Curse of the Demon Seal,[20],23.0,Take on the role of Tao a young magical student trying to master the Magical Arts One day the Demon Seal from a faraway Monster Tower cracked and let loose hoards of ferocious ancient monsters In Taos village the village of the Bente Island an extremely powerful monster curses the townspeople including Taos family turning them all into stone Tao must find a way to master the art of magic repair the Demon Seal destroy the curse and save his family In order to break the curse Tao must find the monster egg of the ancient monster that cursed his family Straitser With that egg he can return to the village and the last remaining elders can break the evil curse although if Tao does not return by the next full moon the curse will never be broken
"[5, 13]",4085,Rei Fighter Gekitsui Senki,[21],23.0,Missing
[31],4051,Ohenro-San,[21],23.0,Missing
[31],4023,Mutsu Tonohohon,[21],23.0,Missing
[26],3973,The Legend of the Quiz Tournament of Champions,[21],23.0,A quiz game published by Nintendo and released only in Japan for the Nintendo GameCube
[12],3948,Homeland,[21],23.0,Homeland is a Japaneseexclusive game for the Nintendo GameCube Its main claim to fame is that it is the only nonPhantasy Star Online title in the systems library to officially support online multiplayer although the implementation of it is different compared to most other games
[5],3897,Dragon Drive: D-Masters Shot,[21],23.0,Dragon Drive DMasters Shot is a thirdperson shooter video game released in 2003 by Treasure Co Ltd The game is based on the Dragon Drive series and was only released in Japan  Gameplayedit Dragon Drive was an aerial combat game set primarily in large outdoor arenas where players had to face several waves of enemies With multidirectional dash and lock on abilities the game has sometimes drawn comparisons to the Zone of the Enders series  The game also has a handful of rail shooter levels drawing frequent comparisons to Segas Panzer Dragoon series but these comprise only a very small portion of the game
"[9, 26]",1196,Crash Boom Bang!,[20],22.05998317425802,Crash Boom Bang is a party game developed by Dimps and published by Vivendi Universal Games in Japan and by Sierra Entertainment internationally for the Nintendo DS It was released in Japan on July 20 2006 in North America on October 10 20061 in Europe on October 27 2006 and in Australia on November 2 20063 It is the only game in the Crash Bandicoot series to be developed by a Japanese company and the first to be released in Japan before North America It was also the final game in the series to be released in Japan  Crash Boom Bang is the first game to be released exclusively for the Nintendo DS and the second party game of the series after Crash Bash The games story centers on a multimillionaire who uses the characters of the series to unearth a powerful object dubbed the Super Big Power Crystal The game has received largely negative reception from reviewers who criticized it for having unoriginal dull gameplay and poor controls
[4],50586,Zoids VS,[21],22.0,The first incarnation of the Zoid Vs series released in Japan in 2002 The game was noted for its ragdolllike movement when Zoids were hit back or killed In this game the Battle Mode is limited to only one set meaning that no matter what character the player chooses the battles are all the same That said the Battle Mode features characters and Zoids from Chaotic Century New Century and the Zoids VS story lines
[5],50576,Zoids VS III,[21],22.0,Released in September 2004 Zoids Vs III looks and plays similarly to its predecessors offering fastpaced robot action in wideopen battlefields New to the series is the ability to perform sliding turns in battle and take to the sky outright and battle opponents in the air Another upgrade is the ability to engage in fourplayer splitscreen battles as opposed to the predecessors twoplayer versus modes in configurations from 1 vs 3 2 on 2 matches and battle royale freeforalls with human players or CPU bots Modes include Story Mode Battle Mode VS Mode Zoids Fist Mode and a Zoids Museum Mode Futhermore even more Zoids and pilots including many from Fuzors and Saga were added many of which must be unlocked
"[14, 33]",87228,Classic Games,[130],20.0,Introducing the Classic Sports Extravaganza  a triumphant collection of three universally beloved games that have been cherished around the globe for generations Bowling Table Tennis and Darts
"[5, 31]",3005,Superman: The New Superman Adventures,[4],18.96021905179874,Superman The New Adventures often referred to as Superman 64 is a 1999 adventure video game developed and published by Titus Software for the Nintendo 64 video game console The game is based on the television series Superman The Animated Series Superman was first released in North America on May 31 1999 and in Europe on July 23 1999
"[9, 15, 31]",86227,Myst,[37],18.0,Its more than a game Its a journey
"[4, 13, 31]",21566,Beyblade: Evolution,[37],17.0,Developed to take advantage of the unique capabilities of the Nintendo 3DS BEYBLADE Evolution lets players launch their ingame BEYBLADE using the gyro and motion sensors and manipulating the viewing angle with the Augmented Reality camera for precise control and adjustment  Players engage in realtime multiplayer battles or follow the Story Mode campaign unlocking new parts and information to finetune their tops in the Bey Factory Expected to spin into retail this fall the game will be available in two versions a standalone Nintendo 3DS edition and in collaboration with Hasbro a collectors edition which includes an exclusive sixpiece BEYBLADE Wing Pegasus 90WF toy previously unavailable outside of Japan
[10],3854,Charinko Hero,[21],16.0,Charinko Hero is a Racing game developed and published by Banpresto which was released in Japan in 2003
"[8, 31]",14502,Home Alone 2: Lost in New York,[19],15.4197446918777,Kevin ends up in New York City Alone The Wet Bandits are in New York City too Harry and Marv tried to rob Kevins house last Christmas But Kevins excellent traps foiled their plans Now theyre out for revenge And Kevins got plenty of hilarious plans to stop them
