genres,id,name,platforms,rating,summary,storyline
"[2, 31, 32]",18642,The Samaritan Paradox,[6],75.96757249513092,A writer has died His daughter seeks the help of you Ord Salamon to find his secret last novel During the search questions will emerge Did her father really kill himself What is the secret novel all about What is going on at the island of Fardo,Missing
"[11, 15, 24]",9477,Soldiers: Heroes of World War II,[6],75.94884838612455,The player can take control of American British Russian or German forces to play out battles that are set in World War II The game is primarily a strategy game but the player can take control of his or her forces and direct them with the keyboard and mouse for additional depth of control,Missing
[31],58386,Dreaming Mary,[6],75.9463986599665,Dreaming Mary is an original adventure game in a sidescrolling format made using the free RPG Maker VX Ace Lite It is inspired by the Japanese horror game Ib and the abstract game Yume Nikki and is influenced by the indie platformer Eversion as well as the TV show Mahou Shoujo Madoka Magica Despite these influences Dreaming Mary is not exactly a horror game It does contain horror elements though they might never be encountered by a player who chooses to indulge in the dreams instead of investigating    The games average playtime ranges from fifteen to twentyfive minutes to reach one ending and there are four endings In the game you are able to interact with items and NPCs It is important to pay attention to dialogue and to your surroundings in order to proceed Sound is vital in this game and can help the player move forward as well as provide hints to the situation Mary has found herself in,Mary is a girl who loves to dream In fact she loves to dream so much she can spend an entire day dreaming One day when she falls asleep she finds herself in a nostalgic place very different from her other dreams Everyone there knows her and treats her like an old friend and they invite her to play with them or help them When she finishes all of their tasks she is invited deeper into the dream
"[13, 15, 31, 32]",51945,Ratty Catty,[6],75.9090909090909,Ratty Catty is a Multiplayer  COOP hide  seek game the game is about the adventures of domestic cat Catty and hazel mouse Ratty who eats the foods in the house feeds its babies and lives in a little rat nest,Missing
[12],114,Star Wars: The Old Republic,[6],75.89816000738819,Step in to the center of your own Star Wars story as you choose your path down the light or dark side of the Force Your choices have impact not only on your story but on those who join you along the way Each choice you make can change how your story unfolds including unexpected story twists or devastating consequences that impact you and your Companions Play as one of 8 legendary Star Wars classes include Jedi Sith Smuggler Trooper and more  this is your story and you decide how you want to build your reputation and influence across the galaxy as you join in epic adventures and challenging missions on the ground and in space,Protected by the legendary Jedi Order the Galactic Republic stood as a bastion of peace in the galaxy for a thousand generations Several centuries ago the greatest threat the galaxy has ever known emerged in the form of the dark Sith Empire After a volatile war the Republic emerged victorious and the Sith were assumed to be extinct Nonetheless the Jedi have maintained a constant vigil over the ancient Sith homeworld Korriban to protect the galaxy from the darkness that still resides in the planets tombs  Though a small group of survivors escaped to warn of the Imperial invasion it was only a minor reprieve for the Republic Korriban was one of several worlds to fall in the initial onslaught and in the years that followed the Republic suffered many more painful defeats Emboldened by their numerous victories the Empire soon moved to conquer the Core Worlds luring the Republic fleet out of position and launching a surprise attack against the noble world of Alderaan  The courageous stand on Alderaan rallied the spirits of Republic defenders across the galaxy but the balance of the power remained in the Empires favor This only fueled the surprise felt when the Imperial Dark Council extended the offer to the Republic to engage in peace negotiations Suspecting possible treachery Republic officials agreed to meet on Alderaan but insisted that the Jedi Order marshal all its resources to provide comprehensive security The Jedi complied sending most senior members of the Order to Alderaan and leaving only a token force in the Temple on Coruscant  After destroying the Jedi Temple and overwhelming the Republics defenses Imperial forces occupied Coruscant holding the planet hostage while negotiations restarted on Alderaan With their capital at stake Republic officials had little choice but to agree to the Empires terms  The Treaty of Coruscant was signed forcing the Republic to cede control of several star systems and to acknowledge new boundaries of Imperial dominion Though the treaty brought about an official end to the war tensions between the two sides have remained high over the last several years and now a return to open war seems all but inevitable
"[12, 15, 24, 31]",9938,Aarklash: Legacy,[6],75.89357970796195,In Aarklash Legacy take command of a mercenary squad in search of truth and guide it through countless battles,Welcome to Aarklash a land of chaos where incessant battles between the forces of Light Destiny and Darkness have lasted since the beginning of time At the heart of this conflict a group of mercenaries wrongly accused of crimes against the Lion of Alahan is being hunted down Convinced that they are in the right and intent on fighting their enemies to the bitter end they will set forth on an epic adventure where they will discover dark secrets A path strewn with obstacles and many unfriendly characters awaits them Go into battle and fight for your life Your actions will determine the destiny of Aarklash  Inspired by the Confrontation figurines universe Aarklash Legacy is a tactical adventure game The player will find himself at the heart of the intrigue controlling a group of 4 characters and leading them into battle across the lands of Alahan Acheron and the Behemoth Final victory for the mercenaries is gained by the use of a wide range of powers which are enhanced through looting items and managed via skills trees which can be reset at will Interaction between the heroes is also important and real bonds will be created between them as the game progress Both fun and action await you in Aarklash Legacy
"[5, 9, 15, 31]",9282,Messiah,[6],75.86470662640332,Bob is an angel ordered by God himself to go and clean up the putrid world of the future He has been given the power of possession so that he can sneak up on any person animal or genetically engineered being and leap right into their souls The rules are up to you  enjoy the freedom,Missing
"[2, 31, 32]",44247,In the Raven Shadow – Ve stínu havrana,[6],75.81627739369733,In the Raven Shadow is in the best sense an oldfashioned adventure game for all senseseeking people,Missing
[5],8559,I.G.I.-2: Covert Strike,[6],75.81396909175305,Youre the undercover agent David Jones whos part of the secret agency IGI and in charge to protect the world from international terrorism  IGI2 Covert Strike starts where the first part ended So again you have to fight for your own infiltrate enemy bases wander through huge outdoor and indoor levels hack computers and find the best strategy to solve the mission You could say a sneakershooter  Additionally the game features multiplayer support where you can solve missions on special mpmaps,Missing
[31],52751,Red Comrades Save the Galaxy,[6],75.77310079638596,Red Comrades Save the Galaxy is a 1998 pointandclick graphic adventure game developed by SKIF and published by Buka Entertainment Also the first installment in the eponymous series,Long time ago in galaxy far away A huge spaceship the size of a planet was heading through the Solar System with millions of alien colonists on board Something went wrong and all of the sudden the alien spaceship lost control It is yet unknown what caused the crash However thanks to this accident the Earth has obtained its very own satellite  the Moon Most of the aliens died in a crash and just a bunch of them placed in suspended animation survived    With no one to reanimate them these poor creatures were doomed to the eternal sleep though It was a shot from a Russian navy cruiser Aurora main gun that signaled the beginning of the October Revolution of 1917 Drunken sailors missed the Tsars Winter Palace and hit the Moon instead This shot deactivated alien sleeping machines and awakened the rest of their crew A short while after remaining aliens realized that there was only one hope for them to survive  invade Earth    While preparing the invasion they accidentally discovered with their telescope a sign right in a middle of the largest continent The sign with a few scratched words on it  Backwoods is a Hub of the Earth This shabby road sign was in a tiny godforsaken Russian village Backwoods Of course alien commanders made a decision to begin the global invasion with capturing such an important strategic point with a mysterious name  Backwoods Meanwhile Russia was in a midst of Civil War and Bolsheviks were trying to clear this area of anticommunist forces Both the front line and Ural River split the village Backwoods in two    One part of the village was somehow controlled by the brave Red Army but some remnants of the cowardly Whites were still comfortably stationed on the other side Both parties were pretty sick and tired of fighting each other and it seemed like they were settled here for a long time No side had a significant advantage and the end of war a distinct possibility If it werent for aliens the situation was not going to change soon
