genres,id,name,platforms,rating,storyline,summary
"[5, 32]",135478,Hrot,[6],99.73269619548347,You start in a civil defense shelter deep under a Prague Metro station As a proud holder of the military readiness badge you know what your duty is put on a nonfunctioning gas mask load the vz 52 pistol and protect the peace and your socialist homeland from the strange intruders,Hrot is a singleplayer retro FPS set in a small socialist country neighboring Soviet Union Czechoslovakia after an unspecified disaster in 1986 Those times were dark and terrifying and so is the game
"[13, 14]",11226,Anstoss 3,[6],99.34094693465835,Missing,2000 wurde mit Anstoss 3 die zweite Fortsetzung veröffentlicht Innerhalb eines Jahres verkaufte es sich mehr als 200000 Mal Von den Spielemagazinen wurde es mit guten Wertungen bedacht z B PC Player 87  Gamestar 88  PC Games 86  Jedoch war es zu Beginn geradezu gefüllt mit Bugs was von der Spielergemeinde kritisiert wurde Dennoch wurde es von den AnstossFans mit Begeisterung aufgenommen da es die wichtigsten Elemente von Anstoss 2 Gold enthielt und diese noch weiter vertiefen konnte Als besonders gelungen gilt die 3DSpieldarstellung Der Spieler konnte sich ein komplettes Spiel seines Teams reduziert auf neun Minuten ansehen Auch der Szenenmodus galt als revolutionär da die Szenen nicht wie in den Vorgängerteilen vorberechnet wurden Kommentiert wurden die Spielszenen durch den bekannten Fußballkommentator Günther Koch Auch neu war die Umsetzung des Vereinsgeländes Von Apfelbäumen über Konditionsparcours und DopingLabor bis hin zu Wolkenkratzern konnte der Spieler sein Vereinsgelände mit Gebäuden Gegenständen und Lebewesen mit und ohne Nutzen erweitern Mit der Veröffentlichung des finalen Patches auf Version 140 wurde es nahezu bugfrei und konnte die AnstossSpieler überzeugen Insgesamt wurden bis heute über eine Million Exemplare von Anstoss 3 verkauft und machen es damit zu einem der erfolgreichsten PCSpiele Deutschlands Trotz seines Alters wird Anstoss 3 durch die große Spieltiefe zusammen mit einem gelungenen Text und 3DModus als bester Teil der AnstossReihe angesehen Dass Anstoss 3 auch heute noch sehr beliebt ist hängt auch mit dem Multiplayermodus zusammen So wird es bis zu 4 Spielern ermöglicht im Netzwerk gegeneinander anzutreten
"[12, 31]",143761,Pokémon Infinite Fusion,[6],99.24261100977014,Missing,Pokémon Infinite Fusion is based on the Pokémon fusion generator  Features   Pokémon Fusion Every Pokémon can be fused with any other Pokémon Each combination has a unique sprite stats movepool Pokédex entry and everything else you could expect from a Pokémon 176400 possible combinations This allows you to get truly creative and have your own truly unique team every playthrough Every Pokémon from Generations 1 and 2 with their evolutions as well as 101 Pokémon from Generations 3 to 7 Over 15000 custom sprites made by the community 16 Badges Fight all 16 Gym Leaders from the Kanto and Johto regions Full Kanto region with extra areas and gen 45 inspired graphics Johto postgame Continue your journey into the Johto region 3 years before the events of Gold and Silver Sevii Islands postgame Explore the Sevii Islands and find some exotic Pokémon Legendary Pokémon 25 Legendary Pokémon to track down and catch Nicknaming Pokémon directly from the menu Over 40 Sidequests Rematch or trade with NPCs after battling them Rematched NPCs become stronger each time and can eventually evolve their Pokémon Fairy type Wonder Trade simulator Faster DayNight system Trainer House Take part in the trainer house challenge in Viridian City to battle against trainers with teams of completely random Pokémon to earn Trainer Points that you can spend on great prizes Integrated speed up button Classic mode or Random mode Reversed mode Special game mode that flips every trainer fusions
[25],72327,Streets of Rage Remake,[6],97.60361153217761,Missing,Streets of Rage Remake is a fangame reboot on the trilogy Streets of Rage
"[12, 32]",224262,Fear & Hunger 2: Termina,[6],97.05732778612625,The game takes place in an alternative take on the real world where religions and occult are a lot more prevalent and where ancient deities are still worshipped in everyday life The year is 1942 and the world has just gone through decades of turmoil with two great wars behind and no end in sight for the despair  You can pick one of the many characters each with their own story set around the city of Prehevil Each character comes to the city with different motives but it soon becomes painfully clear that things are not right in the city and it is up to you to solve the mysteries behind the horrors that took over the nearby areas There are powers at play that go beyond human comprehension,Fear  Hunger 2 Termina is oppressive relentless and hopeless A mix of jRPG and Survival Horror Turnbased combat meets resource management 3 days to explore the wicked town of Prehevil and find out about its dark secrets 3 days until the pale and sickly green moon rises at its apex Termina is upon us
"[31, 34]",51267,Umineko no Naku Koro ni Chiru,[6],96.57376866817967,Missing,Umineko no Naku Koro ni Chiru is the sequel to Umineko no Naku Koro Ni It is also referred to as When They Cry 4 in the overall When They Cry franchise
"[12, 15, 31, 34]",33000,Tomoyo After: It's a Wonderful Life - Memorial Edition,[6],96.5541323999169,Missing,From renowned visual novel studio Key this is the sequel to the highly acclaimed visual novel Clannad Featuring a truly memorable continuation to Tomoya and Tomoyos journey Tomoyo After promises to draw you even further into Clannads world
[7],138851,Not in the Groove,[6],96.51424940375048,Missing,A rhythm game based on StepMania In The Groove and other games alike that provides modding capabilities to charts and features compatibility with most StepMania and In The Groove charts previously available uses mods to allow for a different twist on charts breaking the boundaries for what a playable chart can be
[12],3126,Ultima Online,[6],96.05880952059508,During the earliest span of the age of darkness found in the writings of only the most aged of manuscripts lived a world born of mystic arts and ancient sorcery Sosaria Despite Sosarias enchanted origins its people shunned magic for its very use corrupted the souls of the unwary But one man dared to awake the slumbering powers of Alchemy Twisting the awesome power of the Gem of Immortality to his will and binding all of Sosaria to his corruption Mondain the Wizard His power was absolute as the whole of the planet was gripped in his cruel embrace Only the appearance of a stranger saved Sosaria from impending destruction From whence he came no one knows but his strength and his courage were without peer In this stranger lied Sosarias only hope Only a traveler from the stars could release this world from Mondains vile stranglehold He would prove himself a savior shattering the Gem of Immortality and defeating Mondain But A deeper and more sinister evil was released with the destruction of the Gem For Sosaria was not free of the stones power The planet was still bound to the Jewels magic even as it laid shattered on the floor of Mondains Castle For within each shattered remnant of the jewel dwelled a perfect likeness of Sosaria Thus is the world in which you are born live and die Britannia that was once Sosaria now exists as a thousand worlds each with its own peoples history and destiny This Britannia is but one of many in the multiverse that is Ultima Online,Ultima Online is the product of Richard Garriotts idea for a fantasy game involving several thousand people who can all play in a shared fantasy world It is responsible for grandfathering the genre of the MMO and showing the industry that MMOs were the next era of gaming
"[11, 15]",15123,Kohan: Ahriman's Gift,[6],96.04044943820226,Missing,Kohan Ahrimans Gift is a realtime strategy game set in the fantasy world of Khaldun Built on the a Kohan Immortal Sovereigns gameplay Ahrimans Gift is the standalone prequel to Kohan Immortal Sovereigns Experience the world of Khaldun from a whole new perspective evil Lead armies of Shadowbeasts and Undead as you ravage the countryside driving all enemies before you Ahrimans Gift not only provides new campaigns and improved artificial intelligence but also introduces dozens of new heroes and units to control
