id_game,id_video
224864,Missing
3790,Missing
3819,Missing
222152,Missing
150107,Missing
138156,http://youtube.com/watch?v=KlDseF-LhgU 
48685,Missing
4049,Missing
1966,http://youtube.com/watch?v=o0KzXDnleOg#http://youtube.com/watch?v=rUNEhHTjZlY#http://youtube.com/watch?v=2KNXCYYuHmc 
24088,Missing
4079,Missing
8325,Missing
11558,Missing
3930,Missing
227987,Missing
67805,Missing
3858,http://youtube.com/watch?v=ernTZniAi-M 
1703,http://youtube.com/watch?v=52VTRZZXM0M#http://youtube.com/watch?v=RqmddEkBNfA 
908,http://youtube.com/watch?v=1AR_lpHVbQ0 
3958,Missing
4570,Missing
50570,Missing
4060,Missing
1766,http://youtube.com/watch?v=mVq_CCymZrI 
4066,Missing
3868,Missing
69158,Missing
62379,Missing
4147,Missing
5738,Missing
4085,Missing
3897,Missing
49795,Missing
4036,http://youtube.com/watch?v=86m4wyDhsUI 
4026,http://youtube.com/watch?v=PLBBcZxIDYQ 
4579,Missing
50582,Missing
3931,http://youtube.com/watch?v=3-UaLVh47QE#http://youtube.com/watch?v=UGGpuLHJtNk 
4217,Missing
3888,Missing
4051,Missing
239007,http://youtube.com/watch?v=RxMos9muPYQ 
93046,http://youtube.com/watch?v=nCPZsjnd-BA 
3982,Missing
3949,Missing
1003,http://youtube.com/watch?v=nDYuv4PwE_k#http://youtube.com/watch?v=SaXACmIqamc#http://youtube.com/watch?v=ra6lR2-picI 
3781,http://youtube.com/watch?v=OX7NJ4w2l1I#http://youtube.com/watch?v=xo9CFLbvCw4 
4163,Missing
3841,Missing
3913,http://youtube.com/watch?v=jzQrVSCXs4Y 
250321,Missing
5904,http://youtube.com/watch?v=ua3iqcEVkwU 
191479,Missing
3132,http://youtube.com/watch?v=ia3a4ub-W_4 
4229,Missing
124007,http://youtube.com/watch?v=8WgkNPZyLno 
1700,http://youtube.com/watch?v=Fsa5kWUSGVk 
4183,Missing
23695,http://youtube.com/watch?v=fzGn-OEW2oM 
5830,http://youtube.com/watch?v=BywaOcBoJX4 
3959,Missing
3938,Missing
3920,Missing
3866,Missing
4193,http://youtube.com/watch?v=PXGlSZrmkps 
84336,http://youtube.com/watch?v=vdvcHLbNEoI 
77828,Missing
50587,Missing
36790,http://youtube.com/watch?v=okMYF87p4u8 
116,http://youtube.com/watch?v=ne34WE_KCqE#http://youtube.com/watch?v=xNlWNTQzpBU#http://youtube.com/watch?v=-BXY4g-gplk#http://youtube.com/watch?v=iYgpLIuKQPo#http://youtube.com/watch?v=_D_v1jMzFj4 
3492,http://youtube.com/watch?v=OYtN4poigAs#http://youtube.com/watch?v=nD-fIAy2qxM 
4087,http://youtube.com/watch?v=hieqshciy5U 
86343,http://youtube.com/watch?v=cj2P7xLUiXo#http://youtube.com/watch?v=licecu0QnMw#http://youtube.com/watch?v=TSOtQDwzQJY 
3834,Missing
2643,http://youtube.com/watch?v=AzLtRfMpfks 
5956,Missing
3788,http://youtube.com/watch?v=EDnmUMb6Oys 
3879,Missing
92692,Missing
3855,Missing
3854,Missing
6196,http://youtube.com/watch?v=UI-ux4P2xSs#http://youtube.com/watch?v=oPLWqPm-JZ8#http://youtube.com/watch?v=fkD0Q09ydX0 
1204,Missing
2777,http://youtube.com/watch?v=q4DH5hpvR5k 
3403,http://youtube.com/watch?v=iT-Tl8xW3K4 
777,Missing
3837,http://youtube.com/watch?v=M5HJC2s6RHg#http://youtube.com/watch?v=qGO-A-MeE2k 
412,http://youtube.com/watch?v=1KxG30AxS24 
3918,http://youtube.com/watch?v=RexbKWUDfho 
3991,Missing
198224,http://youtube.com/watch?v=LJ6ktQ1XFPE 
145890,http://youtube.com/watch?v=Wj2d5QaIs5U#http://youtube.com/watch?v=3BSsQ4v7Q40#http://youtube.com/watch?v=hmNuxvUHL2Y 
50585,Missing
50577,Missing
8997,Missing
3780,Missing
3384,http://youtube.com/watch?v=U0vAoauzaEw 
153,http://youtube.com/watch?v=f8R1OuHmonw#http://youtube.com/watch?v=YZu0aYR5k_Y#http://youtube.com/watch?v=ZmVzVRKqk9Q#http://youtube.com/watch?v=lmlXkyKukcU 
905,Missing
3883,http://youtube.com/watch?v=9BGaR95Yqmg 
719,http://youtube.com/watch?v=z7IWVhFFxM4 
816,Missing
2844,http://youtube.com/watch?v=FQ3OWhXoZPQ 
4574,Missing
3810,http://youtube.com/watch?v=6TisMrzirno 
3864,Missing
5819,Missing
3951,Missing
4581,Missing
4048,Missing
3929,Missing
4198,Missing
3937,http://youtube.com/watch?v=L05mbxceh3s 
49405,Missing
4149,http://youtube.com/watch?v=5hHSybMwMGg 
2728,Missing
4174,http://youtube.com/watch?v=sMiq5Wi2dxs#http://youtube.com/watch?v=4n2FWQSJWbA 
3932,http://youtube.com/watch?v=UDA7NEDMrUA 
2765,http://youtube.com/watch?v=NeJzJ3MaiVU#http://youtube.com/watch?v=VNYQ6HpK-Gs 
1712,http://youtube.com/watch?v=s75wwkug4r4#http://youtube.com/watch?v=O78VrkLYOpU 
2698,http://youtube.com/watch?v=RNaSnVOeJ7M 
2973,http://youtube.com/watch?v=_UMRGSf7fnw 
4182,http://youtube.com/watch?v=l07CgCooDjo 
3136,Missing
1047,Missing
3946,Missing
4032,Missing
3944,http://youtube.com/watch?v=MTjqVojOhYs#http://youtube.com/watch?v=ykZ3zMzMqA8#http://youtube.com/watch?v=jmLt2-GaKtY 
3961,http://youtube.com/watch?v=gMI3x3d7gEo#http://youtube.com/watch?v=pepbQ4ZRoY8 
5849,Missing
19747,http://youtube.com/watch?v=pCy6_RNBH9U 
10626,Missing
123412,Missing
2778,Missing
4094,Missing
4089,Missing
47337,Missing
3945,Missing
3923,http://youtube.com/watch?v=CeGm0xBcGdQ 
5739,Missing
3825,http://youtube.com/watch?v=4Qa2-05e72M 
5814,Missing
1341,http://youtube.com/watch?v=sBO0RgR1H4w 
2344,http://youtube.com/watch?v=3krr7HqO0-E#http://youtube.com/watch?v=RfJ7FoVvOCA 
96,http://youtube.com/watch?v=Z5Z7_UC0Vhc 
836,http://youtube.com/watch?v=P5XaqjHPPVQ#http://youtube.com/watch?v=eeoqc2d4CUM#http://youtube.com/watch?v=8S5DVt_wo3g 
45139,http://youtube.com/watch?v=Hg5x80DOEo8#http://youtube.com/watch?v=oInUKR4Y4Bo#http://youtube.com/watch?v=otDmIiZxhPQ#http://youtube.com/watch?v=cRNwL_GwXAw 
3936,Missing
4164,http://youtube.com/watch?v=xBSK711IflI 
3962,http://youtube.com/watch?v=EjZp2Dtl1A8 
1987,http://youtube.com/watch?v=_yTNf3KYspE 
4075,http://youtube.com/watch?v=wQMldopeCpE#http://youtube.com/watch?v=SPTwVVnmtO4 
23329,http://youtube.com/watch?v=TATjUN1CJ6M#http://youtube.com/watch?v=N28V7BG9Hjo#http://youtube.com/watch?v=Sjnya-7t2I0 
2564,http://youtube.com/watch?v=bDZu3N-5N_U 
2725,http://youtube.com/watch?v=aUmq6DNFfTM 
2331,http://youtube.com/watch?v=U0UegZX2BVs 
4216,Missing
4004,Missing
5846,Missing
3774,http://youtube.com/watch?v=DYwGPEOj7DI#http://youtube.com/watch?v=ZNLWG8VHBHk 
1193,http://youtube.com/watch?v=7z-B-sBiVe8 
4007,Missing
3789,Missing
1316,http://youtube.com/watch?v=OpbZIkZI3GM 
4076,http://youtube.com/watch?v=oFROeuILidA#http://youtube.com/watch?v=NoRPEMJGDYE 
6384,Missing
9891,http://youtube.com/watch?v=HsDW6qHTcs8 
3979,Missing
3911,http://youtube.com/watch?v=Prj4EzJ10gE#http://youtube.com/watch?v=uK81q1t2Tew 
3999,Missing
3934,Missing
4202,Missing
4160,Missing
3933,http://youtube.com/watch?v=uXNc0A_V5a4#http://youtube.com/watch?v=EuzqdsOp1PA 
3260,Missing
4017,Missing
85233,Missing
68235,Missing
50580,Missing
50574,Missing
27100,Missing
6238,Missing
3795,http://youtube.com/watch?v=9vgCdUmlsJU#http://youtube.com/watch?v=YDHwLzObg7o 
79149,http://youtube.com/watch?v=RWcvbjKusc4 
4062,Missing
3889,Missing
117003,Missing
4151,Missing
24289,http://youtube.com/watch?v=8_wZlHDZBLs 
4156,http://youtube.com/watch?v=8lBoGrsAj_M#http://youtube.com/watch?v=Xs1MvspaYUo 
75752,Missing
3899,Missing
15433,Missing
4013,Missing
9787,Missing
3885,Missing
3902,Missing
124492,Missing
4015,Missing
4041,Missing
3784,Missing
5719,http://youtube.com/watch?v=1Rasq4WpWb8 
1644,Missing
4070,Missing
5736,http://youtube.com/watch?v=1dWLOs4KJp8 
3921,Missing
234643,Missing
137171,http://youtube.com/watch?v=y9wtWoJOoug 
91677,http://youtube.com/watch?v=WyziZR6XqKk 
86146,Missing
42204,http://youtube.com/watch?v=YmJu5tJsOR8 
874,http://youtube.com/watch?v=EBs5210Vkas 
4006,http://youtube.com/watch?v=fzrFnjBEwl4 
7632,Missing
6180,http://youtube.com/watch?v=dvJjA-rAdR0 
6185,http://youtube.com/watch?v=mA64GHJNyuc 
3465,Missing
72166,Missing
1222,http://youtube.com/watch?v=5lvPP_m-1ek 
1034,http://youtube.com/watch?v=1AZMO5iBeDg 
4073,Missing
3691,Missing
2823,Missing
10627,Missing
2861,http://youtube.com/watch?v=5g_8X9SBe8g 
3965,Missing
3996,Missing
3862,Missing
2240,http://youtube.com/watch?v=xtLFLeNG-uA 
3721,http://youtube.com/watch?v=JcSWhfOv6Ss#http://youtube.com/watch?v=CkTxwymCXQg 
4103,http://youtube.com/watch?v=ETXwdqgiEBw 
96159,http://youtube.com/watch?v=Mb34COrhyFM 
6505,http://youtube.com/watch?v=B8ZHwEMyFeo 
29117,Missing
3668,http://youtube.com/watch?v=vu0lZDrkVDo 
3925,http://youtube.com/watch?v=FudnFVoR6J0 
124006,http://youtube.com/watch?v=JC6M9Y58MtQ#http://youtube.com/watch?v=CcgS68VI3RM 
4185,Missing
64806,Missing
6051,Missing
5843,Missing
1728,http://youtube.com/watch?v=MvuMmEfiLjk 
6285,http://youtube.com/watch?v=FX8oB68O1ms#http://youtube.com/watch?v=f5HDRuAeL7s#http://youtube.com/watch?v=86G-9KC8AUA 
3967,Missing
5817,http://youtube.com/watch?v=1742zFtwStk 
3972,Missing
21372,http://youtube.com/watch?v=MF0AUvBOFWg 
4150,Missing
3349,http://youtube.com/watch?v=aRu7uFkYdeM#http://youtube.com/watch?v=e8HxEVtxiSI 
1751,http://youtube.com/watch?v=G_ZmjNShSHk 
78872,http://youtube.com/watch?v=RJm2nBD7U1Y 
3877,Missing
3851,Missing
2702,Missing
5957,Missing
92693,Missing
3861,Missing
3970,Missing
257765,Missing
79329,Missing
44071,Missing
4101,Missing
4571,Missing
778,Missing
3969,Missing
4184,http://youtube.com/watch?v=KflJDaHHyFk 
4027,Missing
1554,Missing
256803,http://youtube.com/watch?v=WaW3h559uWc#http://youtube.com/watch?v=G70HoWO1umc 
243181,Missing
195500,Missing
4043,http://youtube.com/watch?v=piuujuZpDFo 
3875,http://youtube.com/watch?v=l_7Z8GLzn9U#http://youtube.com/watch?v=XsXqntszTuM 
