id_game,id_video
252071,Missing
229581,Missing
224864,Missing
221025,Missing
203129,Missing
161174,Missing
151843,Missing
83829,http://youtube.com/watch?v=JUYTfp0q3Ak#http://youtube.com/watch?v=b8j0LzUJ_yM 
66955,Missing
64224,Missing
60415,Missing
44985,http://youtube.com/watch?v=bt_J98tptuA 
44977,Missing
44703,Missing
44622,Missing
22223,Missing
5741,http://youtube.com/watch?v=F8Ds_AV7Gd8#http://youtube.com/watch?v=gmFTnh0hjRk 
3790,Missing
11610,http://youtube.com/watch?v=nOsvsyIElRI 
3208,http://youtube.com/watch?v=eW1DAZbOuTk 
135,http://youtube.com/watch?v=u3Q8wLyH2t0 
44860,Missing
3819,Missing
269362,Missing
242632,Missing
181565,Missing
167118,Missing
138156,http://youtube.com/watch?v=KlDseF-LhgU 
89072,Missing
84319,http://youtube.com/watch?v=npfvsa-iFIM 
72848,Missing
71327,http://youtube.com/watch?v=GIMI6oJ5Hus 
64928,Missing
61241,Missing
56960,Missing
55878,Missing
44912,Missing
44632,http://youtube.com/watch?v=HVIFrmUu-L0#http://youtube.com/watch?v=tZkdQFZkt98 
43656,Missing
43652,Missing
43624,Missing
43412,http://youtube.com/watch?v=JFY0yqZHvJA 
43409,Missing
24089,http://youtube.com/watch?v=UrAomKmFDaQ#http://youtube.com/watch?v=QXYAj57Jbio 
18276,http://youtube.com/watch?v=C3wgOlXNpIQ 
5938,Missing
11212,Missing
9669,http://youtube.com/watch?v=6RdbZeOxL2o 
11778,http://youtube.com/watch?v=pocUAFs27ik 
1473,http://youtube.com/watch?v=ctlefthn6H8 
1966,http://youtube.com/watch?v=o0KzXDnleOg#http://youtube.com/watch?v=rUNEhHTjZlY#http://youtube.com/watch?v=2KNXCYYuHmc 
187,http://youtube.com/watch?v=BPugG4Bq-S8#http://youtube.com/watch?v=-LS5GI0m4OI#http://youtube.com/watch?v=Rabn5wV1uJE 
3007,http://youtube.com/watch?v=SmtJUBC4jKY#http://youtube.com/watch?v=T8tYd1nKjds 
4079,Missing
971,http://youtube.com/watch?v=--tL-EM4IHc 
11558,Missing
269323,Missing
266646,Missing
248202,http://youtube.com/watch?v=j0m3g4ShpPo 
229712,Missing
200641,Missing
146570,Missing
137319,Missing
123431,Missing
98663,Missing
80037,Missing
78766,Missing
72817,Missing
72668,http://youtube.com/watch?v=mQDHCq_v8ME 
71361,Missing
67805,Missing
66226,Missing
64455,Missing
60901,http://youtube.com/watch?v=s3sDIoBD0WE 
58437,Missing
44846,Missing
43435,Missing
23742,http://youtube.com/watch?v=ZdchOor43ZM 
22067,Missing
19306,Missing
11556,Missing
6644,Missing
6241,Missing
3858,http://youtube.com/watch?v=ernTZniAi-M 
2141,http://youtube.com/watch?v=_XLeaan6aIs 
9143,Missing
227986,Missing
6194,http://youtube.com/watch?v=zaGtNS_MvJU 
908,http://youtube.com/watch?v=1AR_lpHVbQ0 
11789,http://youtube.com/watch?v=X5SMd3OzWUk 
21558,http://youtube.com/watch?v=oW4LXLRpuJc#http://youtube.com/watch?v=UlPf8LV9nRE 
5871,Missing
5812,Missing
3958,Missing
27317,http://youtube.com/watch?v=7-fOF1n15g8 
4570,Missing
413,http://youtube.com/watch?v=qqsT03Czdq8 
2917,Missing
4066,Missing
3868,Missing
23819,Missing
269328,Missing
269327,Missing
269325,Missing
247509,Missing
246060,http://youtube.com/watch?v=Oyt9zrVOl6s 
243694,http://youtube.com/watch?v=nrixHhoNmf0#http://youtube.com/watch?v=k8XjRVDx9jM 
203208,Missing
203200,Missing
203146,Missing
165594,http://youtube.com/watch?v=QcAyjMioVGo 
92750,Missing
82131,Missing
73932,Missing
72737,Missing
72297,Missing
71487,Missing
63934,Missing
58449,Missing
57821,Missing
43892,Missing
43805,Missing
43600,Missing
43324,Missing
43245,Missing
43242,Missing
23714,http://youtube.com/watch?v=FEAujwfVdBo#http://youtube.com/watch?v=4AaVIad5lhg 
23700,Missing
20145,Missing
416,http://youtube.com/watch?v=MHhRfyQ_-Y0 
4036,http://youtube.com/watch?v=86m4wyDhsUI 
4631,http://youtube.com/watch?v=mheTqhMLpL0#http://youtube.com/watch?v=cNR7JU4pZ40 
11810,http://youtube.com/watch?v=5FcM6LK20vM#http://youtube.com/watch?v=qF0w0orDgJg 
18724,http://youtube.com/watch?v=A1A-k21SP-s 
4579,Missing
3888,Missing
269393,Missing
269318,Missing
225750,http://youtube.com/watch?v=CJjhW3PWqfc 
214662,Missing
203257,Missing
77219,http://youtube.com/watch?v=vQceYyI38WU#http://youtube.com/watch?v=0KNKil3AaZE 
75879,Missing
74055,http://youtube.com/watch?v=QIVZCmJsM_4 
65457,Missing
56973,Missing
43930,Missing
43847,Missing
19252,Missing
7492,Missing
5866,Missing
5827,http://youtube.com/watch?v=zm4GUOlVE6A 
482,http://youtube.com/watch?v=9s5t6R3aWwY#http://youtube.com/watch?v=MLo2WtNN69Q 
726,Missing
3949,Missing
1003,http://youtube.com/watch?v=nDYuv4PwE_k#http://youtube.com/watch?v=SaXACmIqamc#http://youtube.com/watch?v=ra6lR2-picI 
3781,http://youtube.com/watch?v=OX7NJ4w2l1I#http://youtube.com/watch?v=xo9CFLbvCw4 
4163,Missing
3841,Missing
256652,http://youtube.com/watch?v=PgCmSlnMl5o 
255622,http://youtube.com/watch?v=GjKd2MUOEWE 
213857,Missing
208375,Missing
205811,Missing
203282,Missing
163158,http://youtube.com/watch?v=OtcXtcXNkMc 
140688,Missing
137002,http://youtube.com/watch?v=dRQaQJvgJpc#http://youtube.com/watch?v=_qFeG-ftccg 
124685,http://youtube.com/watch?v=003InBneCqk 
81505,Missing
67366,http://youtube.com/watch?v=iqCCxllroCA#http://youtube.com/watch?v=3bid0WmhYiQ 
67040,Missing
65883,Missing
58152,Missing
45249,Missing
45081,Missing
43779,Missing
43443,Missing
26515,Missing
23713,Missing
22236,Missing
14547,Missing
6843,Missing
5904,http://youtube.com/watch?v=ua3iqcEVkwU 
5580,Missing
191479,Missing
4229,Missing
4183,Missing
1159,http://youtube.com/watch?v=2PhxcaGJNNk 
5830,http://youtube.com/watch?v=BywaOcBoJX4 
3959,Missing
3920,Missing
3866,Missing
4193,http://youtube.com/watch?v=PXGlSZrmkps 
269332,Missing
268664,http://youtube.com/watch?v=Z5SfUpdfGpI 
243471,Missing
243288,Missing
203260,Missing
202609,http://youtube.com/watch?v=OWcKppPaFrw 
85842,Missing
84336,http://youtube.com/watch?v=vdvcHLbNEoI 
77828,Missing
73525,Missing
72579,http://youtube.com/watch?v=1JdZ7kYRIlE 
65300,Missing
65299,Missing
57848,Missing
45100,Missing
44784,Missing
43660,http://youtube.com/watch?v=8H_WDHcE79c 
43588,http://youtube.com/watch?v=Xdq0Aowj2N8 
43449,Missing
43433,Missing
24184,http://youtube.com/watch?v=HZ2vo2ZNmVI 
24109,Missing
23706,Missing
23694,Missing
22243,Missing
22242,Missing
8301,Missing
5853,Missing
4865,Missing
3806,Missing
4087,http://youtube.com/watch?v=hieqshciy5U 
6340,Missing
6184,http://youtube.com/watch?v=bQnd4Cw4oMU 
5720,http://youtube.com/watch?v=19xNzEbKHiM 
3834,Missing
1747,http://youtube.com/watch?v=aTVhFxEqkbQ#http://youtube.com/watch?v=Hr5mfIZu8_w 
5956,Missing
92692,Missing
3855,Missing
264338,Missing
243241,Missing
209293,Missing
175120,Missing
124499,Missing
98915,Missing
80758,Missing
77321,Missing
72315,Missing
65020,Missing
47346,Missing
44975,Missing
43878,Missing
43661,Missing
43610,Missing
28530,Missing
23710,Missing
13108,Missing
6196,http://youtube.com/watch?v=UI-ux4P2xSs#http://youtube.com/watch?v=oPLWqPm-JZ8#http://youtube.com/watch?v=fkD0Q09ydX0 
6150,Missing
5931,Missing
5764,Missing
22252,http://youtube.com/watch?v=IJP3Nhbq2hE 
777,Missing
3837,http://youtube.com/watch?v=M5HJC2s6RHg#http://youtube.com/watch?v=qGO-A-MeE2k 
16267,http://youtube.com/watch?v=fc_7Up_JXEg 
1989,Missing
3918,http://youtube.com/watch?v=RexbKWUDfho 
3991,Missing
269389,Missing
269383,Missing
258844,http://youtube.com/watch?v=dcy7mKHUDSM#http://youtube.com/watch?v=L-yCa7F1ZJ8 
242438,Missing
214549,Missing
205641,Missing
172462,http://youtube.com/watch?v=nK-6smOGVto 
145890,http://youtube.com/watch?v=Wj2d5QaIs5U#http://youtube.com/watch?v=3BSsQ4v7Q40#http://youtube.com/watch?v=hmNuxvUHL2Y 
145271,Missing
123223,Missing
96512,Missing
73128,Missing
67374,Missing
57705,http://youtube.com/watch?v=m9NrjiFTOqg 
51159,Missing
44942,Missing
44637,Missing
43705,Missing
43638,Missing
43454,http://youtube.com/watch?v=I2_ZJZvL4qE 
43392,Missing
43284,Missing
24103,Missing
22280,Missing
22247,Missing
8997,Missing
8847,Missing
8841,Missing
3780,Missing
153,http://youtube.com/watch?v=f8R1OuHmonw#http://youtube.com/watch?v=YZu0aYR5k_Y#http://youtube.com/watch?v=ZmVzVRKqk9Q#http://youtube.com/watch?v=lmlXkyKukcU 
15454,http://youtube.com/watch?v=KPtZ19iYBzE 
905,Missing
3883,http://youtube.com/watch?v=9BGaR95Yqmg 
719,http://youtube.com/watch?v=z7IWVhFFxM4 
641,http://youtube.com/watch?v=2ctS-ZUGeY0 
816,Missing
2844,http://youtube.com/watch?v=FQ3OWhXoZPQ 
8634,http://youtube.com/watch?v=R0L83cJZ8Jo 
5947,Missing
3864,Missing
5819,Missing
9550,http://youtube.com/watch?v=PpzICc2E57Q 
11635,http://youtube.com/watch?v=FqoyOpYOdWU 
3951,Missing
4581,Missing
19631,http://youtube.com/watch?v=SOjdEvk0kpI 
4048,Missing
6012,Missing
3929,Missing
4198,Missing
3937,http://youtube.com/watch?v=L05mbxceh3s 
268656,http://youtube.com/watch?v=5KJB88oPfe8 
267891,Missing
267889,Missing
267887,Missing
267885,Missing
267884,Missing
267883,Missing
267882,Missing
267881,Missing
267880,Missing
267879,Missing
267878,Missing
267877,Missing
267876,Missing
267875,Missing
241501,Missing
240276,Missing
203261,Missing
165536,Missing
142143,Missing
141135,Missing
123432,http://youtube.com/watch?v=_riae5kuGz0 
