genres,id,name,platforms,rating,storyline,summary
"[5, 8, 12, 31]",523,Infamous,[9],75.97565335448742,inFAMOUS is set in Empire City a fictional metropolis based on New York City consisting of the Neon District where most of Empire Citys businesses are concentrated the Warren a slum dependent on international shipping activity and the Historic District the location of the city government Each district has an elevated train system and a separate power grid The premise of the game is built around the partial destruction of the Historic District by a mysterious explosion followed by a viral epidemic that forces federal authorities to seal the only bridge leading to the mainland A rise in violent crime overwhelms the police resulting in societal collapse  Characters The protagonist is Cole MacGrath Jason Cottle a courier who is accused of triggering the explosion which leaves him with the ability to absorb and project electricity His closest friend Zeke Jedediah Dunbar Caleb Moody allows Cole to hide on his rooftop despite his envy of the formers powers Trish Dailey October Moore Coles girlfriend abandons him out of anger over the death of her sister Amy while most of Empire Citys residents view him as a terrorist While attempting to escape the city with Zeke Cole is contacted by FBI agent Moya Jones Kimberli Colbourne who offers to clear his name if he helps her find her husband fellow agent John White Phil LaMarr White vanished while investigating a group known as the First Sons who are believed to be responsible for orchestrating the explosion  While working to restore order in the Neon District Cole encounters Sasha Jessica Straus a former member of the First Sons who like Cole is a Conduit an individual given powers by the First Sons Using her ability to control the minds of others via a tarlike substance she has formed a gang known as the Reapers Meanwhile the Warren has been overrun by the Dust Men an army of homeless militants led by Alden Tate also Jason Cottle the original leader of the First Sons who possesses telekinesis Kessler Sam A Mowry the true antagonist of the game is a shadowy figure who controls the First Sons and who takes an obsessive interest in Cole and his powers  Story While the basic story of InFamous remains unchanged whether the player opts for the Good or Evil karma path there are some story elements that change depending on Coles choices  While making a delivery in the Historic District Cole is instructed to open the package In doing so he activates a device known as the Ray Sphere leveling six city blocks and nearly killing him Rescued by Zeke and Trish he teaches himself to control his emerging powers After using them in public to fight off a Reaper attack the locals turn against Cole after he is accused of triggering the explosion forcing him into hiding He and Zeke engineer an assault on the sealed bridge only to be ambushed by government forces Separated from his friend Cole meets Moya who persuades him to return and find John With her help Cole restores the districts power supply earning the attention of Sasha who lures him into her underground lair Cole defeats her but she is abducted by the Sons before he can make her talk Trapped in the Warren Cole assists what remains of the police in battling the Dust Men Alden is arrested and imprisoned but Zekes incompetence in guarding him allows the Dust Men to free him and massacre most of the officers With Alden planning to reactivate the Sphere the two patch things up and confront him with Zeke ending up in possession of the Sphere Giving in to his temptations Zeke deserts Cole and takes the Sphere to Kessler  With Alden on a murderous rampage towards the Historic District Cole defeats him once and for all in a bridge battle Before jumping in the water Alden reveals that Kessler exiled him from the First Sons White who turns out to be an NSA agent with no connection to Moya reaches out to Cole and explains that the Ray Sphere is designed to consume bioenergy from thousands of lives and transfer it to a single user making them a Conduit During their search for the Sphere Kessler publicly challenges Cole to stop a series of bombings across the district ending with him being forced to choose between saving Trish or her colleagues Regardless of which choice he makes Cole fails to keep Trish from dying Determined to punish Kessler Cole tracks the Sphere to a remote pier where he must decide whether to destroy it or use it to become even more powerful Regardless the Sphere releases the last of its energy killing John before disappearing into a vortex,Infamous is a single player openworld actionadventure game that places you in the role of Cole McGrath a once regular guy who in the aftermath of a horrific catastrophe finds himself not only alive but developing a fantastic array of superpowers Going from ordinary to extraordinary overnight isnt something to take lightly With these powers does one exact revenge Protect the innocent Or perhaps dabble in a little of both The choice is yours in Infamous
[31],93620,Minecraft: PlayStation 4 Edition,[48],75.97321344766114,Missing,The critically acclaimed Minecraft comes to PlayStation 4 Create your very own game world and explore build and conquer
[14],26130,Cool Boarders 3,[7],75.88410702148511,Missing,Race at thunderous speeds while carving through fresh powder on a wide range of gut wrenching courses Encounter razor sharp turns intimidating jumps enormous moguls treacherous ice and countless obstacles Pull off killer tricks like Mistys Melancholys Methods Stiffys andJapan Air plus thousands of combos of flips spins and grabs All new fighting allows you to punch your opponent while racing Lifelike boarders carve through courses textured to perfection illustrating amazing detail to rocks bumps ice jumps canyons and cliffs The most breathtaking mountain views this side of the Rockies Choose from 16 Burton and 6 Ride snowboards all individually designed with their own specific performance and board graphics Battle for the win while racing against opponents in the Downhill Boardercross and Slalom events or go for huge air in the Half Pipe Big Air and Slope Style events
[10],2553,MotorStorm,[9],75.86178635879305,Missing,Welcome to MotorStorm the worlds most brutal offroad racing event where the goal is to win at all costs Choose from seven vehicle types from highflying dirt bikes to powerful big rigs and destroy anything that gets in your way in a noholds barred sprint to the finish Try and survive RealTime Deforming Terrain The terrain literally gets torn up with each passing vehicle causing each lap to be different Advanced particle effects cause debris and muck to stick to each vehicle Vehicular Combat and Damage Destroy anything that gets in your way Smash your opponents and view spectacular Hollywoodstyle crash sequences Take the Race Online Intense headtohead offroad racing Challenge the competition over voice chat AI opponents simulate human traits like showing off attacking taunting and doing whatever it takes to win
"[12, 15, 25, 31]",8576,Drakengard 3,[9],75.83141989713113,The story focuses on Zero a woman who can manipulate magic through song Partnering with a dragon named Mikhail Zero set out to kill her five sisters who rule the worlds regions As she travels the player discovers the true reason behind Zeros rampage,Drakengard 3 transports players to a medieval world where six goddesslike sisters known as Intoners have brought peace to the earth with their power to manipulate magic through song Harmony is disrupted however when the eldest sister Zero attempts to murder her younger sisters with the help of her dragon companion Mikhail As the story progresses players find themselves in a battle to unravel the mystery of Zero and learn her true intentions  A prequel to the original Drakengard Drakengard 3 features the series signature brand of action pitting players against hordes of fiends and foes in remorseless hackandslash ground combat and then sending them soaring for pitched aerial battles on the back of the dragon Mikhail
"[9, 31]",2969,Rain,[9],75.7153772360306,Missing,rain is the enchanting tale of a boy who chases after a girl with an invisible silhouette After discovering that the girl is being hunted by ghostly creatures he embarks on his own journey into the mysterious world of rain to save her Upon entering the world he discovers that he has also become invisible and he must learn to navigate through the unknown using the rain to guide and protect him
[13],14754,Ace Combat Zero: The Belkan War,[8],75.71081356121479,Missing,The sixth installment in the Ace Combat series explores the Belkan War a devastating conflict alluded to in Ace Combat 5 In the games main story mode the player takes control of a mercenary pilot callsign Cipher taking part in the Belkan War by advancing through aerial combat escort assault and defense missions The story is told through the eyes of a reporter 10 years after the conflict uncovering secrets of the war by interviewing some of the pilots the player shoots down
"[25, 31]",8279,T'ai Fu: Wrath of the Tiger,[7],75.68203434802861,Missing,Tai Fu Wrath of the Tiger is a PlayStation game released in 1999 The game is set in an oriental landscape populated by clans of animals such as Leopards and Snakes The games protagonist Tai Fu is the last remaining survivor of the Tiger clan and must journey to defeat the Dragon Master and avenge his kind On the way he learns about his clouded past and masters several Kung Fu styles one from each clan master he defeats The game become one of the influences for the DreamWorks Animation film series Kung Fu Panda and Jeffrey Katzenberg worked on both of them
"[5, 13]",14751,Ace Combat 3: Electrosphere,[7],75.62805836239774,Missing,The third installment in the Ace Combat flight simulator series  The Japanese version of Ace Combat 3 was released in 1999 and had only Japanese audio and text Its campaign featured 52 missions that were split among different paths depending on inmission decisions The story centered around the Intercorporate War in 2040 between Neucom Incorporated and the General Group  The international version of Ace Combat 3 was released in 2000 and was localized for specific regions However its campaign had 36 out of the original 52 missions with no different paths The story as well as all related voice acting and cutscenes was removed and replaced with a more basic story with no voice acting
"[10, 33]",10916,Burnout Legends,[38],75.60678049197539,Missing,Burnout Legends takes the most explosive moments of the popular Burnout series of racing games mashes them together and adds some new surprises  giving you the best racing experience to come out for the DS Use your car as a weapon and battle your way to the front of the pack  by taking out rivals and instigating spectacular crashes Speed depth and destruction are waiting for you in the game of onthego automotive anarchy
