genres,id,name,platforms,rating,summary,storyline
[5],25880,Jurassic Park,[18],98.59850793871661,Jurassic Park is a 1993 video game based on the film and novel of the same name It was developed and published by Ocean Software and released for the Nintendo Entertainment System,Missing
"[5, 15, 31]",21073,Metal Gear Solid: Snake Eater 3D,[37],97.97405499563601,Metal Gear Solid Snake Eater 3D is a stealth action game for the Nintendo 3DS It is a rerelease of Metal Gear Solid 3 Snake Eater The game was released on February 21 2012 in North America and on March 8 2012 in Japan and Europe It is also the first Metal Gear game to be released on a Nintendodeveloped portable system since Metal Gear Ghost Babel back in 2000 A digital download version was released in Japan via the Nintendo eShop function on the Nintendo 3DS on December 16 2014 exactly a decade after the initial release of the original title The download includes a Snake Eater theme which included a FOX logo wallpaper the theme song for the game cursor sound effects from the Metal Gear series and folders modeled after the cardboard boxes from the series Both the digital download for the game itself as well as the 3DS theme were later released in both Europe and North America on December 18 with the game itself costing 1999 A patch was released a day later to fix a glitch occurring in the WIG area that freezes the game and corrupts save data when using the Circle Pad Pro,Missing
"[12, 15, 31]",54220,Persona Q2: New Cinema Labyrinth,[37],96.60598033663487,The dream meeting of Persona 3 4 5 Welcome to the movie world Labyrinth The latest RPG in the Persona series A new storyline in Persona Q this time focusing on P5 The most number of party members in the Persona series with a total of 28 people A dream RPG where P3 P4 and P5 characters meet to unravel the mystery begins,Missing
"[12, 31]",119388,The Legend of Zelda: Tears of the Kingdom,[130],96.07893037877426,The Legend of Zelda Tears of the Kingdom is the sequel to The Legend of Zelda Breath of the Wild The setting for Links adventure has been expanded to include the skies above the vast lands of Hyrule,While exploring the caves underneath Hyrule Castle to investigate the origins of the gloom a dangerous substance which appeared all over the kingdom Link and Zelda not only find old archeological remains of the Zonai an ancient race said to have descended from the sky but also an maleficent mummy held by a bodiless arm who suddenly reanimates defeats Link breaks the Master Sword and rise large structures once found underground to the skies above Hyrule with Zelda vanishing with a spark from a strange amulet found on the site Some time later Link awakens in an unknown place on a floating sky island and meets a mysterious spirit called Rauru which transplanted his arm the same arm which was holding the mummy onto Link since his right arm was beyond saving Guided by this new ally Link sets out in an adventure to protect Hyrule find Princess Zelda and uncover the mysteries of the Zonai
"[12, 15, 31]",145528,Dragon Quest VIII: Journey of the Cursed King,[37],95.82051083628002,This is a portable version of the classic RPG with added content and other 3DS enhancements,The court jester Dhoulmagus of the kingdom of Trodain stole a powerful magical scepter sealed beneath the royal castle Using the power of the scepter Dhoulmagus destroyed the castle placed a curse upon the kingdom and its people and turned King Trode into a troll and the princess into a horse A sole surviving castle guard journeys with the king the princess a reformed bandit named Yangus and a few other companions in search of the evil jester and a way to break the curse
[8],77378,Super Mario All-Stars + Super Mario World,[19],95.56805781150887,Put quite simply this is the amalgamation of the previously released Super Mario AllStars compilation with Super Mario World added While games already in the AllStars bundle have major graphical and audio improvements the only change made to Super Mario World is a slight tweak of Luigis graphic sprites making him slightly thinner and taller rather than being the same height and stature of Mario which does not affect gameplay,Missing
"[5, 8, 31]",236663,Metroid Prime Remastered,[130],95.08449138007936,Get behind the visor of intergalactic bounty hunter Samus Aran in her criticallyacclaimed firstperson adventure  Step into the boots of Samus Aran as you navigate the winding paths and interconnected environments of an alluringyetdangerous alien planet Use powers like the iconic Morph Ball and Grapple Beam to revisit hardtoreach areas and find a path forward With revamped graphics sound unlockable art and updated control schemes Samus 3D platforming debut has reached greater heights Calm and capable Samus takes on this solo missionbut she is far from alone,Missing
Missing,21121,Dokapon Journey,[20],95.0,The Kingdom of Dokapon is in peril Monsters have invaded and the King has offered his crown and his daughters hand in marriage to anyone who can save the land Prepare to take down your friends or face off against the Nintendo DS in this race to save the Kingdom and win the throne,Missing
[13],176552,Animal Crossing: New Horizons - Happy Home Paradise,[130],94.9453327156604,Expand your horizons with DLC and help create vacation homes for clients on resort islands In Animal Crossingm New Horizons  Happy Home Paradiss clients with different dream vacation requests will visit a new resort area located in an archipelago made up of several different islands where the Paradise Planning team is located You can talk to a client and find out the details of their requests for a vacation home and then make their dreams happen,Missing
"[5, 8, 31]",1780,Mega Man ZX Advent,[20],94.01158577231556,In Mega Man ZX Advent the main characters discover the power of the mysterious Biometal model A which on its own has several attacks but also has a special Megamerge ability which allows the character to transform into one of eight Pseudoroid bosses that each have a unique set of abilities Once a boss is defeated players can emulate their powers to find hidden routes discover rare items and aid their battles against more powerful enemies The title takes full advantage of the Nintendo DS features to enhance the actionpacked gameplay and story line of the popular series,This game takes place years after the Biometal Model W incident in the previous game Mega Man ZX Hunters roam the ruins looking for lost technology where wild machines called Mavericks live The government Legion oversees and rules over the majority of the worlds actions with its controllers being the Masters Thomas Albert and Mikhail a reference to Drs Thomas Light Albert Wily and Mikhail Cossack respectively The player can choose between two characters Grey and Ashe
