genres,id,name,platforms,rating,summary,storyline
[5],16957,Counter-Strike Nexon: Studio,[6],20.74890061079237,For the first time on Steam Nexon is making a slice of CounterStrike history available to everyone Classic CounterStrike action new modes new guns new characters Free to Playwhat else are we missing Thats right Zombies We welcome you to do your part in cutting down the undead masses Youll find plenty of Zombies there in both PvP and PvE flavors,Missing
[16],8140,Heroes Chronicles: The Sword of Frost,[6],20.72874216646128,Heroes Chronicles The Sword of Frost is the eight and final game in the Heroes Chronicles series Tarnum must beome a Dungeon Overlord of Nighon to stop his former friend the Elven Hero Gelu from discovering the Sword of Frost This campaign was one of two included in the singledisc installment The Final Chapters,In The Sword of Frost a direct sequel to Clash of the Dragons Gelu wielder of Armageddons Blade sets out to destroy the Sword of Frost Tarnum having heard of an ancient prophecy that the meeting of the two swords will bring about the end of the world struggles to stop Gelu With the recent chaos after the death of Queen Mutare of Nighon Tarnum is able to take control over the Dungeon creatures of Nighon who are the only ones who wish to fight Gelu becoming an Overlord However ruling these brutal creatures brings out the darkness in Tarnum  The Sword of Frost is located in the northern lands of the Vori elves Gelu is halfVori so the elves fight against Tarnum In addition Tarnums own troops are prone to internal conflicts After being shot with a poisoned arrow by a medusa Tarnum appoints his savioursthe beholders Neez Zarm and Kilkik as his bodyguards and advisors They take revenge against the medusas but Zarm dies in the process  Kija the third wife of King Kilgor also chases Gelu for the Sword of Frost She plans to steal it from him and give it to her husband so that her son will be named heir to Krewlod Tarnum cannot convince Kija or Gelu to give up their search so he decides to gain an edge by adding the Azure Dragons to his army  Gelu understood that the Sword of Frost could only be destroyed by Armageddons Blade However he didnt know that this could only be done under very delicate circumstances Tarnum knew that if Gelu were to try to destroy it using only brute force the cataclysm would occur  In order to learn more about the Sword of Frost Tarnum captures Gelus friend and captain the dwarf Ufretin While he does so he replaces his remaining beholder bodyguard Kilkik with the minotaur Trongar and the medusa Zallisa Tarnum convinces Ufretin to understand him before allowing the dwarf to return to Gelu Ufretin buys Tarnum enough time to capture Kija and annihilate her army However Gelu soon continues his march toward the city of Volee where the sword is held  When Tarnum finally beats Gelu to Volee he discovers that the Sword of Frost has already been taken by Kija who had escaped from her dungeon prison a few weeks earlier In the chronicles ending scene Tarnum prays to the Ancestors Please dont let my compassion destroy the world As Heroes IV begins it is revealed that shortly after the events of The Sword of Frost Gelu fights Kilgor who now wields the Sword of Frost Kilgor was about to wage war on all of Antagarich but he was stopped by Gelu and the Forest Guard When the two blades meet in battle they cause an explosion that destroys the world of Enroth Many of the planets residents however escape through thousands of mysterious portals leading to a new world Axeoth This event becomes known as the Reckoning which leads into Heroes of Might and Magic IV
"[13, 15, 32]",921,Capitalism II,[6],20.47000285963856,Trevor Chans Capitalism II is the business simulation video game sequel to the original Capitalism It was created by Enlight and published by Ubisoft Entertainment in 2001,Missing
"[13, 15]",121565,Men of War: Assault Squad 2 - Cold War,[6],20.0,The legendary Men of War RTS series has reached the cold war era Take command of US or Soviet soldiers controlling vast armies with the military decisions down to you Claim victory in dynamic singleplayer and coop campaigns or challenge fellow strategists in online multiplayer,Missing
[13],90548,Agricultural Simulator 2013: Steam Edition,[6],20.0,Best In FarmingAn idyllic farming environment surrounded by inviting  untilled mountain panoramas set in the beautiful landscapes of Tuscany The Alps and USA await all fans of the Agricultural Simulator seriesAt their own farm hobbyfarmers undertake the daily tasks and challenges of a professional The production of food sustainable resources and delivery of eco products all have to be managedFields have to be worked and farm animals cared for The dynamic ground makes the whole game more realistic Future farmers have to invest tactically and with foresight  the rapid spend of budgets by running costs and seed bills must not be underestimated To realize a profit takes financial and tactical skillKey FeaturesIncluding Interactive TutorialIncludes 4 MapsIncludes more than 100 machinesFree placeable building includingSolar Energy PlantGreenhouseWindmillsDung Tank Extensive Help System including Transport tasks 6 different animal species,Missing
[9],89361,Asian Riddles 3,[6],20.0,Its time for new adventures Much more levels in Asian Riddles 3 Will the legendary master fear such a trial,Missing
"[15, 32]",88558,Quiz Time,[6],20.0,Quiz Time is all in one Quiz Package for everyone You can play any type of quizzes like Sports Quiz GK Quiz Songs Quiz Maths Quiz Entertainment Quiz and Many more,Missing
Missing,88356,Calm Cards: Klondike,[6],20.0,Purchasing this game lets you play the age old solitaireklondike game in a beautiful setting without stress There are no scores or leader boards just gorgeous cards to play with,Missing
"[15, 32]",86293,Fantasy Mosaics 20: Castle of Puzzles,[6],20.0,Travel with the penguins and solve new pixel art challenges,Missing
"[15, 32]",36981,Quadrant M4,[6],20.0,Annihilate the Sarkad and Onton Fleets in this arcade style galactic battle game Gather resources to improve your craft by farming asteroids or destroying enemy craftbasestations Over 20 increasingly difficult levels to complete the game,Missing
"[13, 31]",36322,Epic Space: Online,[6],20.0,Epic Space is a Third Person Action MMO featuring unique voice communication emergent gameplay and twitchbased combat on a single shard There is one persistent sandboxuniverse shared by the entire world Players earn reputations for completing orders securing objectives recon and team play,Missing
[13],36140,World of Leaders,[6],20.0,Become one of todays world leaders and change the world order WARNING Our special 80 discount is limited only to the 10000 first players Do not wait,Missing
"[13, 32]",30662,"What the Heck, Dude?",[6],20.0,What The Heck Dude is a drunk fight simulator with realistic physics You are going to find yourself in different life situations and every time you will have to start a fight No matter where are you and what you are doing your only task is to spoil the event and initiate a brawl,Missing
"[13, 32]",29421,Polterheist,[6],20.0,You are a burglar and you often rob houses at night when the owners are out,Missing
"[13, 15]",16964,Game Tycoon 1.5,[6],20.0,Welcome to the Game Industry  The year is 1982 Three young entrepreneurs discover the computer and potential to strike it rich in the Games Industry Their love for computer games is a common bond that they all share but they are also in fierce competition with one another in a race to build a successful Games Development House  They quickly find that the Games Development business is not as simple as it appears Banks Investors Magazines Retailers Distributors Manufacturers and the Press are all breathing down your neckthey want results Do you have what it takes You are now an up and a coming entrepreneur in the Games Business Do you have what it takes to be the next Game Tycoon,Missing
[13],16963,Towtruck Simulator 2015,[6],20.0,In this simulation the player works as the owner a large car park on which the towed vehicles will be parked A huge armada of different towing vehicles is ready to go The trucks are on the road to find illegally parked cars For each order you earn money as being towed might be very expensive for the owner Most of the money could be earned by driving the truck independently and fulfill your hard job carefully,Missing
"[13, 15]",16899,Airport Simulator 2014,[6],20.0,Booming turbine noise kerosene smells in the air and constant change and new challenges The daily life of a large airport is perfectly presented and is a particular challenge in this professional and economic airport simulation    Whether refueling super jumbos or coordinating air traffic controllers and technical staff or even organizing perfect catering The Management of this airport will always have new challenges for you,Missing
"[12, 31, 32]",15625,Vigil: Blood Bitterness,[6],20.0,Vigil Blood Bitterness plunges you into the dark and disturbing story of an ancient civilization where you must reveal the secrets of your past and exact revenge on the Evil destroying your universe Ritualistic killings and blood lust blur the line between your own kind and the Evil you seek to annihilate Your ultimate goal is to free yourself from this tormenting place and understand the origin and the purpose of this never ending Evil      Vigil is a stylized gothic horror adventure game that uses black and white imagery similar to Frank Millers Sin City to create a unique visual that draws you deeper into the gruesome world of your character Dehon Avoid deadly traps solve puzzles to unravel your past and even devour the faces of your slaves for sustenance towards your ultimate goal of freedom,Missing
"[13, 15]",14862,Prison Tycoon 3: Lockdown,[6],20.0,Crack that Whip  Take reigns of a privately run prison  You are responsible for the care custody and control of individuals who have been arrested  Begin with a low security prison and build it up to a SuperMax  From construction to daily operations you must protect society while turning a profit  Its time for lockdown    En Guard   Hire trustworthy prison guards and arm them with weapons riot shields and guard dogs to maintain peace and control but keep your eye on your budget  Underpay and organized crime will run rampant in your prison    Watch with an eagle eye   Monitor all activities 247  Keep a look out for escapees contraband or illegal activity,Missing
"[13, 14, 15]",10727,Pro Rugby Manager 2015,[6],20.0,Pro Rugby Manager 2015 covers all aspects of the challenges of a real rugby union manager guarantee sporting success on the field and financial success off it and be the next Champion Developed under license from the biggest rugby union leagues in the world Aviva Premiership Rugby PRO12 and Ligue Nationale de Rugby Pro Rugby Manager 2015 will give you the opportunity to manage any of the 54 official teams from these leagues,Missing
[15],10358,Genesis Rising,[6],20.0,Three thousand years in the future mankind has carved a bloody path towards domination of the known universe Selfproclaimed as a divine race and beyond reproach as a species they view all alien races as inferior With fleets of organic starships genetically engineered for war humanity sets out to conquer the last remaining independent galaxy  The Universal Heart  As Captain Iconah you are commissioned to uncover the location and purpose of the Heart Take command of a living fleet altering your starships DNA in realtime as you grant them new and powerful abilities The Universal Crusade has just begun,Missing
"[15, 32]",10357,Gemini Wars,[6],20.0,Decades have passed since war erupted between the United Space Federation and the alliance of Free Worlds A bloody conflict that seemed to have reached a stalemate is now about to change when a third faction suddenly appears  Take control of a fleet commander returned from exile rise through the ranks of the United Space Federation forces and join an epic war across the stars Start with a small group of frigates and climb your way to controlling battleships carriers and planetary bases in huge space battles and boarding actions  Build space stations and orbital facilities to fortify your position build your fleet extract minerals and research upgrades Execute boarding actions using marine special forces and bombard your enemies with orbital long range cannons,Missing
"[14, 15]",10337,Front Page Sports Football,[6],20.0,Recruit train and coach your players to compete against 32 other teams in Pro League on your way to the bowl Being an effective coach is about developing the right skills for each player strategizing for the games and seasons ahead planning for the unexpected and knowing when to push your players to the limit  Front Page Sports Football is a strategic football sim featuring fully customizable Gameplans drawing from over 2300 plays As the manager and coach its up to you to scout and draft new talent analyze your opponents weaknesses and develop your players skillsets on the road to victory,Missing
[13],10310,Farming Giant,[6],20.0,In the best tradition of the giantsseries the player will get a firstclass business simulation crafted with a lot of details The player will build farms maintain and upgrade his properties Whether farming or ranching the experience covers all parts of agriculture  With the right strategy and the courage for expansion international success is guaranteed A huge game world a variety of production processes and trade opportunities and various game modes as well as achievements provide longlasting fun Furthermore the agricultural giant impresses with wide range of management options from seed to distribution  the players takes decisions by himself and an extensive fleet of vehicles A detailed skill tree provides RPG elements and offers the opportunity to specialize more and more,Missing
"[13, 32]",10105,Construction Machines 2014,[6],20.0,Become a boss of a construction company Demolish old houses flatten the ground fill foundations with concrete and build new buildings  this is what you do Sit behind the wheel of different construction machines  from trucks and diggers to huge cranes Win contracts and gather money to expand your company and buy or upgrade your machines,Missing
"[13, 15]",9958,Airline Tycoon 2,[6],20.0,A decade after the bestselling Airline Tycoon comes the long awaited sequel to the legendary tongueincheek economic simulation that puts players in the role of CEO of an international airline Airline Tycoon 2 will challenge players to run a modern airline design unique airplanes and grow a rundown carrier into a globally recognized company that passengers practically beg to fly Airports worldwide are waiting to be explored but beware your rivals never rest Crafty opponents are also working to dominate the skies and they wont let anything stand in the way of their goals,Missing
