genres,id,name,platforms,rating,summary,storyline
"[9, 15, 32]",9783,The Blue Flamingo,[6],49.99161680176309,Shoot your way through intense levels with a swiftly increasing difficulty in a world completely built with handcrafted models Invest your score in upgrades or save it to gain interest with the risk of losing it all Use your greed wisely to beat your friends and climb up the score table,Missing
[5],7631,Overkill's The Walking Dead,[6],49.95360368850676,Overkills The Walking Dead is a four player coop action FPS where you and your friends fight the dead as well as the living Set in The Walking Dead Universe you and your group try to survive in a postapocalyptic Washington DC  Each character has their own Special Abilities Skill Trees Squad Roles Play Styles and Story Arcs but teamwork is paramount The action is closeup and intense take out enemies carefully with a silent melee attack or go in guns blazing with your choice of each class weapons You need to be able to improvise as nothing is certain and a horde of walkers is always right around the corner,Missing
"[5, 31]",25479,Afterfall: InSanity - Extended Edition,[6],49.92036334225098,In Afterfall InSanity you wont only face the aftermath of the nuclear fallout but also the dark shadows of the past in the role of the mysterious psychologist Albert As Albert the player will be part of a team of medical scientists in charge of monitoring the fugitives mental stability If Albert does not confront his greatest weaknesses and deepest fears he will not survive the claustrophobic depths of the underground from which there is no escape and where the darkness hides more secrets than simply the growing madness of its inhabitants Defy everything thats in your way to solve the horrible secrets that exists in the dark,It is 2032  20 years after the end of World War III To survive the nuclear holocaust humankind fled from the contaminated surface to find safety in vast bunkers cities created deep underground Decaying shelters and hideaways set the stage in mankinds struggle for survival where they battle horrible mutants bloodthirsty mercenaries and other threats
"[13, 32]",32152,Slavistan,[6],49.89158732763151,Hello Comrades  You think you got what it takes to be tru slav  Then we have game for you  Prove to all your gopnik friends  that you are the superior alpha slav your babushka always wanted you to be,Missing
"[13, 15, 32]",33603,Tavern Tycoon,[6],49.78977980889071,Run your fantasy RPG tavern  let travellers take shelter for the night and serve em the best mead of their life with a good dose of humor,Missing
[5],354,Battlefield Play4Free,[6],49.73648757638563,Battlefield Play4Free is a firstperson shooter video game developed by EA Digital Illusions CE and Easy Studios and published by EA Based on the Battlefield series the game features a modern warfare battlefield setting,Missing
"[11, 13, 15, 24]",311,Police Quest: SWAT 2,[6],49.55044373106792,Choose from 100 SWAT officers or 100 terrorists and build the ultimate SWAT team or the deadliest terrorist organization Undergo actual SWAT tactics and marksmanship training  then strap on the Kevlar for real where adversaries pursue their criminal agenda while reacting to your every move,Missing
"[15, 16]",724,Galactic Civilizations II: Dark Avatar,[6],49.48854115398927,Galactic Civilizations II Dark Avatar is the first expansion pack to the turnbased strategy game Galactic Civilizations II Dread Lords It added new features such as Two new civilizations a genocidal Drengin offshoot called the Korath and a civilization called the Krynn A new campaign in which the player leads the Drengin Empire The ability to create custom opponents An environment statistic to planets which will determine which civilization can innately colonize or what technologies will be necessary for other civilizations to colonize different planets An enhanced role for espionage special Agents being hired that can conduct various missions such as sabotage or destabilization on rival worlds or act as counteragents against rival agents attempting to conduct missions on the players worlds Asteroid fields to the space map for players to mine for resources Resources from asteroid fields are directed to planets where they increase manufacturing capacity A great deal of new ship hulls and jewellery and The extermination of two civilizations during the campaign  the two exterminated civilizations will still be available in sandbox mode but will not appear in the future releases of the game,Missing
"[13, 31, 32]",24972,Mr.President!,[6],49.33333333333334,MrPresident Can you take a bullet for the soon to be President of the United States of America You play as Dick RockHard Johnson a bulletproof man the best bodyguard money can buy He is sworn to protect the most hated presidential candidate of all time Ronald Rump,Missing
"[31, 32]",32812,Red Trigger,[6],48.94927112736107,Red Trigger is a First Person Shooter FPS Puzzle game Can you infiltrate and corrupt the system,Missing
"[2, 31, 32]",2625,Face Noir,[6],48.34879629397383,A moody tale that combines the intrigue and atmosphere of a Raymond Chandler novel or Humphrey Bogart film with classic pointandclick adventure gameplay Face Noir follows private eye Jack Del Nero as hes falsely accused of murdering the man who left a little girl in his protection  As Jack tries to figure out the identity of the girl and clear his name the disillusioned detective finds himself up against a city infested with corruption and economic uncertainty The more he uncovers the more he discovers about the darker depths of human nature,Missing
"[9, 15, 31, 32]",17683,Polarity,[6],48.12055945721831,Polarity features the same type of polished gameplay found in games like Portal but is made exclusively for experienced gamers Youll need clever wits and fast reflexes to beat the systems security and reach the worldchanging prize buried deep inside,Missing
"[9, 31, 32]",3104,Dream,[6],47.98323831798474,Dreams gameplay is strongly based around exploration with games such as Yume Nikki and LSD being the initial inspiration for the concept On top of this we have been inspired by the narrative elements in Dear Esther and Deus Exs nonlinear story telling and environments the resulting gameplay maintains aspects of all 4 games There will be many puzzles to solve horror sections and some more narrative focused areas So we hope it will have a range of elements for everyone to enjoy,You take on the role of Howard Phillips a young graduate with no direction in life who develops an obsession with his dreams Discover dreams and nightmares filled with puzzles and secrets to help Howard find the meaning to his life
"[10, 13, 14]",8034,Xpand Rally,[6],47.80396751391274,Xpand Rally is a breathtaking game that gives you the true to life experience of driving powerful rally cars amidst photorealistic sceneries Realistic weather effects rolling hills and animated scenery all add to games visual perfection Xpand Rally also features highly detailed models of modern rally cars and handling physics developed with the help of rally sport professionals which further enhance the realism of driving experience,Missing
"[12, 15, 16, 32]",7719,Eador: Masters of the Broken World,[6],47.48912007550405,Eador is a universe made of countless shards of land drifting in the Great Nothing Each of the shards is a little world unto itself with geography and denizens of its own The power over the shards is bitterly contested by Masters the immortal beings mortals believe to be gods Take the role of the mighty Master and shape the destiny of Eador It is in your power to deliver the world from ultimate destruction  or to choke it with an iron fist of tyranny  Eador Masters of the Broken World is a turnbased fantasy strategy game where the decisions you make affect the world even deeper than the battles you win,Missing
