genres,id,name,platforms,rating,summary,storyline
"[15, 16, 35]",20524,Uno,[12],75.97061620938712,UNO is the classic party card game thats number one for family fun Compete against three other players to match colors and symbols go Wild with special command cards such as Skip and Reverse and be the first to play all your cards      Addon theme decks offer new art and new card effects keeping the game fresh and challenging So connect with friends choose your favorite house rules and get ready to shout UNO,Missing
"[4, 25]",5898,Kung Fu Chaos,[11],75.9447673751661,Kung Fu Chaos is an entertaining brawler game inspired by the 70s Kung Fu movie era You fight as one of nine charactersthree of which are unlockablewith looks moves and taunts based on kungfu movie icons Your quest for movie stardom places you on a dynamic movie set and when the director yells Action you fight against multiple enemies either by yourself or with three friends Perform overthetop HongKongstyle combatincluding leaps and flying kicksand youll become a star in no time,Missing
[5],6803,Halo 5: Guardians,[49],75.93258244391237,Halo 5 Guardians delivers epic multiplayer experiences that span multiple modes fullfeatured level building tools and another chapter in the Master Chief saga The Master Chief saga continues with solo and up to 4player cooperative experience that spans three worlds A mysterious and unstoppable force threatens the galaxy The Spartans of Fireteam Osiris and Blue Team must embark on a journey that will change the course of history and the future of mankind,When the UNSC cant track down their most valued asset Spartan 117 The Master Chief they send a highly trained ONI soldier Agent Locke to bring him back Master Chief is in search for something very important and will allow nothing to stand in his way while Agent Locke has vowed to uphold justice and hunt for the truth As these two titans fight their way through Forerunner and Covenant forces the fate of the universe hangs in the balance yet again
[10],2540,Project Gotham Racing 4,[12],75.38600885291049,Project Gotham Racing 4 is the fourth title in the main Project Gotham Racing series developed by Bizarre Creations and published by Microsoft Game Studios,Missing
"[10, 13, 14]",2131,Forza Motorsport 5,[49],75.28283013180035,Forza Motorsport 5 is a cinematic automotive journey starring the worlds greatest cars and tracks Built from the ground up to take advantage of Xbox One and the vast power of the cloud no game better delivers the wideeyed thrill of racing,Missing
[7],80255,Karaoke,[12],75.0,Pay by the hour to access streaming karaoke music on your Xbox 360,Missing
Missing,47418,Zoids Assault,[12],75.0,Zoids Assault uses a turnbased combat system This game allows the user to customise hisher zoids and pilots with many upgrades  Bit of the storyline from the website The Republic of Helic and the Guylos Empire engaged in the largest war to be seen in centuries It did not take long before every nation found itself dragged into the middle of the bloodshed including the nations of Maroll and Jamil  In the end the Republic of Helic and its allies emerged victorious Howeverthis did not put an end to the years of animosity and mistrust,Missing
[5],47404,The History Channel: Civil War - Secret Missions,[12],75.0,Activision and the History Channel bring you back to the Civil War,Missing
[14],47401,Kinect Sports: Ultimate Collection,[12],75.0,Finally you dont have to choose This ultimate collection hast two bestselling Kinect games wrapped into one  putting 13 great sporting games at your fingertips So grab your friends and compete for a personal best or jump in and out of the action in team Party Mode Anyone can play in these controllerfree fullbody sports games With your body as the controller nothing comes between you and the action,Missing
"[9, 14, 31]",25189,Body and Brain Connection,[12],75.0,Body and Brain Connection is a puzzle game which asks mental questions but requires that the answers be performed through physical actions The games goal is to reinforce the mental answers by having them be drilled into the player by playing with motion controls Games are usually short exercises that last only for a few minutes Some of the games include a math game which requires the player to make hand motions in either a greater than or less than sign and a game which makes the user kick a ball into the goal with the right answer for a math question,Missing
